model,gen,compiled_count,total_files,compile_rate,has_tests_count,cppcheck_errors,cppcheck_warnings,cppcheck_cwe_count,clang_warnings,clang_errors
gemma,gen_1,668,745,0.8966442953020134,402,4,22,420,4752,122
gemma,gen_2,667,740,0.9013513513513514,400,4,20,417,4990,125
gemma,gen_3,683,753,0.9070385126162018,404,3,23,409,5152,117
human,soln1,831,851,0.9764982373678026,494,28,135,512,8450,162
human,soln2,834,844,0.9881516587677726,500,39,150,503,8331,131
llama,gen_1,763,849,0.8987043580683156,468,11,28,332,4054,250
llama,gen_2,736,800,0.92,438,27,28,318,3779,182
llama,gen_3,773,847,0.9126328217237308,476,21,21,314,4014,187
qwen,gen_1,788,850,0.9270588235294117,479,17,21,314,3176,225
qwen,gen_2,745,823,0.905224787363305,451,11,24,374,3841,215
qwen,gen_3,757,816,0.9276960784313726,449,8,13,352,3932,124
