model,gen,tag,compiled_count,total_files,compile_rate,has_tests_count,cppcheck_errors,cppcheck_warnings,cppcheck_cwe_count,clang_warnings,clang_errors
gemma,gen_1,*special,6,6,1.0,6,0,0,0,23,0
gemma,gen_1,2-sat,2,2,1.0,2,0,0,2,16,0
gemma,gen_1,binary search,47,51,0.9215686274509803,45,0,2,35,277,4
gemma,gen_1,bitmasks,26,27,0.9629629629629629,24,0,0,18,156,4
gemma,gen_1,brute force,81,84,0.9642857142857143,77,0,1,43,443,6
gemma,gen_1,chinese remainder theorem,2,2,1.0,2,0,0,0,4,0
gemma,gen_1,combinatorics,18,23,0.782608695652174,16,0,2,17,154,5
gemma,gen_1,constructive algorithms,64,67,0.9552238805970149,61,0,0,47,733,9
gemma,gen_1,data structures,65,75,0.8666666666666667,58,0,3,49,352,22
gemma,gen_1,dfs and similar,26,41,0.6341463414634146,24,0,0,35,339,33
gemma,gen_1,divide and conquer,14,15,0.9333333333333333,13,0,0,9,69,1
gemma,gen_1,dp,83,98,0.8469387755102041,76,0,3,62,657,29
gemma,gen_1,dsu,14,21,0.6666666666666666,12,0,0,20,168,18
gemma,gen_1,expression parsing,1,1,1.0,1,0,0,1,21,0
gemma,gen_1,fft,7,7,1.0,6,0,0,5,48,0
gemma,gen_1,flows,3,4,0.75,3,0,0,3,21,1
gemma,gen_1,games,12,12,1.0,9,0,6,9,125,0
gemma,gen_1,geometry,16,16,1.0,14,0,0,6,94,0
gemma,gen_1,graph matchings,4,5,0.8,4,0,0,1,21,1
gemma,gen_1,graphs,34,54,0.6296296296296297,31,0,2,49,487,37
gemma,gen_1,greedy,97,110,0.8818181818181818,86,1,5,63,656,29
gemma,gen_1,hashing,3,4,0.75,3,0,0,0,18,1
gemma,gen_1,implementation,139,146,0.952054794520548,132,1,3,79,818,6
gemma,gen_1,interactive,8,8,1.0,7,0,0,6,87,0
gemma,gen_1,math,103,109,0.944954128440367,95,0,2,48,666,6
gemma,gen_1,matrices,6,7,0.8571428571428571,6,0,0,8,42,1
gemma,gen_1,meet-in-the-middle,1,1,1.0,1,0,0,1,5,0
gemma,gen_1,number theory,27,29,0.9310344827586207,24,0,0,15,181,2
gemma,gen_1,probabilities,9,11,0.8181818181818182,9,0,0,5,63,2
gemma,gen_1,shortest paths,8,12,0.6666666666666666,8,0,0,11,120,5
gemma,gen_1,sortings,49,54,0.9074074074074074,46,0,5,27,226,13
gemma,gen_1,string suffix structures,4,4,1.0,4,0,0,2,12,0
gemma,gen_1,strings,33,34,0.9705882352941176,32,0,0,13,195,1
gemma,gen_1,ternary search,3,5,0.6,3,0,0,3,28,10
gemma,gen_1,trees,21,35,0.6,21,0,0,28,320,32
gemma,gen_1,two pointers,23,25,0.92,22,0,2,14,148,3
gemma,gen_2,*special,6,6,1.0,6,0,0,0,20,0
gemma,gen_2,2-sat,2,2,1.0,2,0,0,1,10,0
gemma,gen_2,binary search,48,51,0.9411764705882353,46,0,0,25,267,3
gemma,gen_2,bitmasks,23,25,0.92,22,0,0,17,151,6
gemma,gen_2,brute force,81,83,0.9759036144578314,77,0,1,40,528,6
gemma,gen_2,chinese remainder theorem,2,2,1.0,2,0,0,0,4,0
gemma,gen_2,combinatorics,20,24,0.8333333333333334,18,0,0,19,176,4
gemma,gen_2,constructive algorithms,59,62,0.9516129032258065,56,0,0,37,711,9
gemma,gen_2,data structures,65,74,0.8783783783783784,58,0,0,50,349,17
gemma,gen_2,dfs and similar,21,36,0.5833333333333334,20,0,0,32,319,29
gemma,gen_2,divide and conquer,14,15,0.9333333333333333,13,0,0,13,77,1
gemma,gen_2,dp,70,90,0.7777777777777778,64,1,3,60,583,28
gemma,gen_2,dsu,14,18,0.7777777777777778,13,0,0,14,145,14
gemma,gen_2,expression parsing,0,1,0.0,0,0,0,0,21,1
gemma,gen_2,fft,7,7,1.0,6,0,0,4,53,0
gemma,gen_2,flows,3,3,1.0,3,0,0,3,22,0
gemma,gen_2,games,11,11,1.0,8,0,6,8,118,0
gemma,gen_2,geometry,17,17,1.0,15,0,0,6,102,1
gemma,gen_2,graph matchings,3,3,1.0,3,0,0,1,14,0
gemma,gen_2,graphs,40,53,0.7547169811320755,39,1,0,50,502,28
gemma,gen_2,greedy,105,116,0.9051724137931034,93,0,7,74,776,25
gemma,gen_2,hashing,3,3,1.0,3,0,0,0,9,0
gemma,gen_2,implementation,135,140,0.9642857142857143,128,0,1,75,796,16
gemma,gen_2,interactive,8,8,1.0,7,0,0,5,84,0
gemma,gen_2,math,104,110,0.9454545454545454,95,0,2,55,718,6
gemma,gen_2,matrices,4,4,1.0,4,0,0,4,16,0
gemma,gen_2,meet-in-the-middle,1,1,1.0,1,0,0,1,8,0
gemma,gen_2,number theory,27,29,0.9310344827586207,25,0,0,8,217,2
gemma,gen_2,probabilities,7,10,0.7,7,0,0,7,65,3
gemma,gen_2,shortest paths,10,12,0.8333333333333334,10,1,0,13,109,3
gemma,gen_2,sortings,47,53,0.8867924528301887,44,0,5,30,255,12
