metric,model,n_samples,point_estimate,ci_lower,ci_upper,ci_width,p_value,significant_95
full_pass_rate,human,994,0.7525150905432596,0.7253521126760564,0.778672032193159,0.053319919517102576,,
mean_pass_rate,human,994,0.8296802396748408,0.8082641816177114,0.8501496373403659,0.04188545572265445,,
full_pass_rate,qwen,1379,0.14938361131254532,0.1312545322697607,0.16823785351704135,0.036983321247280654,,
mean_pass_rate,qwen,1379,0.3765857087367028,0.3576298379694148,0.3955271713001062,0.037897333330691396,,
full_pass_rate,gemma,1206,0.2230514096185738,0.1998341625207297,0.2462686567164179,0.04643449419568821,,
mean_pass_rate,gemma,1206,0.4674998374470205,0.4457725280292273,0.48868393862376525,0.04291141059453796,,
full_pass_rate,llama,1382,0.20911722141823444,0.18813314037626627,0.23154848046309695,0.04341534008683068,,
mean_pass_rate,llama,1382,0.42510839207252826,0.4052104794753529,0.4457557388582071,0.04054525938285419,,
full_pass_diff_human_minus_ai,human - qwen,994 vs 1379,0.6031314792307143,0.5706363817422301,0.6362150057706646,0.0655786240284345,0.0,True
mean_rate_diff_human_minus_ai,human - qwen,994 vs 1379,0.45309453093813806,0.42546290454844216,0.4816792663467144,0.05621636179827222,0.0,True
full_pass_diff_human_minus_ai,human - gemma,994 vs 1206,0.5294636809246858,0.4933011418427647,0.5646329469353435,0.0713318050925788,0.0,True
mean_rate_diff_human_minus_ai,human - gemma,994 vs 1206,0.36218040222782033,0.3315712542840374,0.3921452771844383,0.060574022900400926,0.0,True
full_pass_diff_human_minus_ai,human - llama,994 vs 1382,0.5433978691250252,0.508891955204454,0.5783974469101149,0.0695054917056609,0.0,True
mean_rate_diff_human_minus_ai,human - llama,994 vs 1382,0.4045718476023126,0.37491977530237336,0.4337206764814245,0.058800901179051124,0.0,True
mean_cwe_count_compiled,human,1665,1.365165165165165,1.23003003003003,1.5087237237237237,0.2786936936936937,,
cwe_prevalence_compiled,human,1665,0.44804804804804804,0.42462462462462464,0.47147147147147145,0.04684684684684681,,
mean_cwe_count_compiled,qwen,2290,0.6969432314410481,0.6393013100436681,0.7572052401746725,0.11790393013100442,,
cwe_prevalence_compiled,qwen,2290,0.35109170305676857,0.3314410480349345,0.3703056768558952,0.0388646288209607,,
mean_cwe_count_compiled,gemma,2018,1.0594648166501486,0.9722497522299306,1.1486744301288403,0.1764246778989097,,
cwe_prevalence_compiled,gemma,2018,0.44301288404360756,0.4207135777998018,0.464816650148662,0.04410307234886024,,
