file,model,gen,batch,problem_key,diagnostic_name,category,level,message
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311_C._Perform_the_Combo,modernize-avoid-c-arrays,modernize,Warning,"do not declare C-style arrays, use 'std::array' instead"
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311_C._Perform_the_Combo,modernize-avoid-c-arrays,modernize,Warning,"do not declare C-style arrays, use 'std::array' instead"
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311_C._Perform_the_Combo,modernize-avoid-c-arrays,modernize,Warning,"do not declare C-style arrays, use 'std::array' instead"
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311_C._Perform_the_Combo,modernize-avoid-c-arrays,modernize,Warning,"do not declare C-style arrays, use 'std::array' instead"
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311_C._Perform_the_Combo,modernize-use-trailing-return-type,modernize,Warning,use a trailing return type for this function
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311_C._Perform_the_Combo,clang-diagnostic-format,compiler-warning,Warning,format specifies type 'int' but the argument has type 'long long'
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571_E._Geometric_Progressions,modernize-avoid-c-arrays,modernize,Warning,"do not declare C-style arrays, use 'std::array' instead"
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571_E._Geometric_Progressions,modernize-use-trailing-return-type,modernize,Warning,use a trailing return type for this function
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571_E._Geometric_Progressions,modernize-use-trailing-return-type,modernize,Warning,use a trailing return type for this function
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571_E._Geometric_Progressions,clang-diagnostic-register,compiler-warning,Error,ISO C++17 does not allow 'register' storage class specifier
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571_E._Geometric_Progressions,modernize-use-trailing-return-type,modernize,Warning,use a trailing return type for this function
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571_E._Geometric_Progressions,modernize-use-trailing-return-type,modernize,Warning,use a trailing return type for this function
