file,model,gen,batch,problem_key,total_diagnostics,warnings,errors,notes,bugprone,performance,modernize,readability,cppcoreguidelines,cert,analyzer,compiler_warning,misc,hicpp,other
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311_C._Perform_the_Combo,6,6,0,0,0,0,5,0,0,0,0,1,0,0,0
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571_E._Geometric_Progressions,17,16,1,0,2,0,14,0,0,0,0,1,0,0,0
human/soln1/00000/0228_p02876_AtCoder_Grand_Contest_040_-_Balance_Beam,human,soln1,00000,p02876_AtCoder_Grand_Contest_040_-_Balance_Beam,12,12,0,0,3,0,7,0,0,0,2,0,0,0,0
human/soln1/00000/0086_1065_F._Up_and_Down_the_Tree,human,soln1,00000,1065_F._Up_and_Down_the_Tree,12,12,0,0,4,0,7,0,0,0,1,0,0,0,0
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285_C._Fadi_and_LCM,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075_D._Intersecting_Subtrees,15,15,0,0,2,5,7,0,0,0,1,0,0,0,0
human/soln1/00000/0111_290_D._Orange,human,soln1,00000,290_D._Orange,10,10,0,0,2,1,7,0,0,0,0,0,0,0,0
human/soln1/00000/0051_868_A._Bark_to_Unlock,human,soln1,00000,868_A._Bark_to_Unlock,3,3,0,0,0,0,2,0,0,0,0,1,0,0,0
human/soln1/00000/0082_p02260_Selection_Sort,human,soln1,00000,p02260_Selection_Sort,4,4,0,0,0,1,3,0,0,0,0,0,0,0,0
human/soln1/00000/0258_1117_F._Crisp_String,human,soln1,00000,1117_F._Crisp_String,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
human/soln1/00000/0135_851_B._Arpa_and_an_exam_about_geometry,human,soln1,00000,851_B._Arpa_and_an_exam_about_geometry,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0196_283_D._Cows_and_Cool_Sequences,human,soln1,00000,283_D._Cows_and_Cool_Sequences,12,12,0,0,4,0,5,0,0,0,3,0,0,0,0
human/soln1/00000/0216_774_K._Stepan_and_Vowels,human,soln1,00000,774_K._Stepan_and_Vowels,7,5,2,0,0,0,4,0,0,0,0,3,0,0,0
human/soln1/00000/0060_p03013_AtCoder_Beginner_Contest_129_-_Typical_Stairs,human,soln1,00000,p03013_AtCoder_Beginner_Contest_129_-_Typical_Stairs,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0
human/soln1/00000/0036_519_B._A_and_B_and_Compilation_Errors,human,soln1,00000,519_B._A_and_B_and_Compilation_Errors,4,4,0,0,0,1,3,0,0,0,0,0,0,0,0
human/soln1/00000/0197_306_C._White__Black_and_White_Again,human,soln1,00000,306_C._White__Black_and_White_Again,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0096_1320_F._Blocks_and_Sensors,human,soln1,00000,1320_F._Blocks_and_Sensors,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0
human/soln1/00000/0009_1227_D1._Optimal_Subsequences__Easy_Version_,human,soln1,00000,1227_D1._Optimal_Subsequences__Easy_Version_,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0044_70_C._Lucky_Tickets,human,soln1,00000,70_C._Lucky_Tickets,9,9,0,0,2,0,7,0,0,0,0,0,0,0,0
human/soln1/00000/0125_621_D._Rat_Kwesh_and_Cheese,human,soln1,00000,621_D._Rat_Kwesh_and_Cheese,12,12,0,0,0,2,10,0,0,0,0,0,0,0,0
human/soln1/00000/0147_p03343_AtCoder_Regular_Contest_098_-_Range_Minimum_Queries,human,soln1,00000,p03343_AtCoder_Regular_Contest_098_-_Range_Minimum_Queries,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0126_643_B._Bear_and_Two_Paths,human,soln1,00000,643_B._Bear_and_Two_Paths,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0
human/soln1/00000/0131_760_F._Bacterial_Melee,human,soln1,00000,760_F._Bacterial_Melee,16,16,0,0,6,0,10,0,0,0,0,0,0,0,0
human/soln1/00000/0254_1030_E._Vasya_and_Good_Sequences,human,soln1,00000,1030_E._Vasya_and_Good_Sequences,14,14,0,0,1,1,12,0,0,0,0,0,0,0,0
human/soln1/00000/0272_1413_F._Roads_and_Ramen,human,soln1,00000,1413_F._Roads_and_Ramen,9,9,0,0,4,0,3,0,0,0,2,0,0,0,0
human/soln1/00000/0085_1043_A._Elections,human,soln1,00000,1043_A._Elections,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0000_1012_E._Cycle_sort,human,soln1,00000,1012_E._Cycle_sort,13,13,0,0,0,4,9,0,0,0,0,0,0,0,0
