model,generation,instruction_id,error_id,severity,cwe
human,soln1,0113,unusedVariable,style,563
human,soln1,0113,unusedVariable,style,563
human,soln1,0171,variableScope,style,398
human,soln1,0171,shadowVariable,style,398
human,soln1,0171,shadowVariable,style,398
human,soln1,0171,useStlAlgorithm,style,398
human,soln1,0171,uninitvar,warning,457
human,soln1,0171,legacyUninitvar,error,457
human,soln1,0171,unreadVariable,style,563
human,soln1,0171,unreadVariable,style,563
human,soln1,0009,shadowVariable,style,398
human,soln1,0009,shadowVariable,style,398
human,soln1,0234,shadowVariable,style,398
human,soln1,0201,unpreciseMathCall,style,758
human,soln1,0201,shadowVariable,style,398
human,soln1,0142,invalidscanf,warning,119
human,soln1,0115,variableScope,style,398
human,soln1,0115,variableScope,style,398
human,soln1,0133,useStlAlgorithm,style,398
human,soln1,0133,useStlAlgorithm,style,398
human,soln1,0133,postfixOperator,performance,398
human,soln1,0133,postfixOperator,performance,398
human,soln1,0266,variableScope,style,398
human,soln1,0266,variableScope,style,398
human,soln1,0266,unreadVariable,style,563
human,soln1,0266,unusedVariable,style,563
human,soln1,0266,unreadVariable,style,563
human,soln1,0266,unreadVariable,style,563
human,soln1,0026,getsCalled,warning,477
human,soln1,0199,invalidscanf,warning,119
human,soln1,0209,variableScope,style,398
human,soln1,0209,variableScope,style,398
human,soln1,0159,danglingLifetime,error,562
human,soln1,0159,uninitMemberVar,warning,398
human,soln1,0159,functionStatic,style,398
human,soln1,0159,noExplicitConstructor,style,398
human,soln1,0159,useStlAlgorithm,style,398
human,soln1,0181,uninitvar,warning,457
human,soln1,0181,uninitvar,warning,457
human,soln1,0212,variableScope,style,398
human,soln1,0261,shadowVariable,style,398
human,soln1,0261,shadowVariable,style,398
human,soln1,0261,shadowVariable,style,398
human,soln1,0261,constVariableReference,style,398
human,soln1,0261,unreadVariable,style,563
human,soln1,0129,functionConst,style,398
human,soln1,0129,noExplicitConstructor,style,398
human,soln1,0105,arrayIndexThenCheck,style,398
human,soln1,0105,arrayIndexThenCheck,style,398
human,soln1,0105,arrayIndexThenCheck,style,398
human,soln1,0105,arrayIndexThenCheck,style,398
human,soln1,0105,shadowVariable,style,398
human,soln1,0157,useInitializationList,performance,398
human,soln1,0157,useInitializationList,performance,398
human,soln1,0157,functionConst,style,398
human,soln1,0157,constParameterReference,style,398
human,soln1,0157,constVariable,style,398
human,soln1,0041,knownConditionTrueFalse,style,571
human,soln1,0163,uninitMemberVar,warning,398
human,soln1,0163,uninitMemberVar,warning,398
human,soln1,0163,uninitMemberVar,warning,398
human,soln1,0163,uninitMemberVar,warning,398
human,soln1,0163,uninitMemberVar,warning,398
human,soln1,0163,invalidscanf,warning,119
human,soln1,0163,passedByValue,performance,398
human,soln1,0163,passedByValue,performance,398
human,soln1,0012,functionConst,style,398
human,soln1,0012,noExplicitConstructor,style,398
human,soln1,0076,compareValueOutOfTypeRangeError,style,398
human,soln1,0076,shadowVariable,style,398
human,soln1,0134,functionStatic,style,398
human,soln1,0022,variableScope,style,398
human,soln1,0245,uninitMemberVar,warning,398
human,soln1,0245,uninitMemberVar,warning,398
human,soln1,0245,uninitMemberVar,warning,398
human,soln1,0245,uninitMemberVar,warning,398
human,soln1,0245,knownConditionTrueFalse,style,571
human,soln1,0245,constParameterReference,style,398
human,soln1,0161,useStlAlgorithm,style,398
human,soln1,0126,unusedVariable,style,563
human,soln1,0024,variableScope,style,398
human,soln1,0024,variableScope,style,398
human,soln1,0024,variableScope,style,398
human,soln1,0205,invalidscanf,warning,119
