sample_id,model,generation,batch,problem_key,error_id,severity,cwe,message
human/soln1/00000/0146_p03194_CADDi_2018_for_Beginners_-_Product_and_GCD,human,soln1,00000,p03194 caddi 2018 for beginners product and gcd,variableScope,style,398,The scope of the variable 'k' can be reduced.
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285 c fadi and lcm,variableScope,style,398,The scope of the variable 'a' can be reduced.
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285 c fadi and lcm,variableScope,style,398,The scope of the variable 'b' can be reduced.
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285 c fadi and lcm,unreadVariable,style,563,Variable 'ini' is assigned a value that is never used.
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285 c fadi and lcm,unusedVariable,style,563,Unused variable: count
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285 c fadi and lcm,unreadVariable,style,563,Variable 'a' is assigned a value that is never used.
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285 c fadi and lcm,unreadVariable,style,563,Variable 'b' is assigned a value that is never used.
human/soln1/00000/0028_309_B._Context_Advertising,human,soln1,00000,309 b context advertising,getsCalled,warning,477,Obsolete function 'gets' called. It is recommended to use 'fgets' or 'gets_s' instead.
human/soln1/00000/0028_309_B._Context_Advertising,human,soln1,00000,309 b context advertising,getsCalled,warning,477,Obsolete function 'gets' called. It is recommended to use 'fgets' or 'gets_s' instead.
human/soln1/00000/0046_754_E._Dasha_and_cyclic_table,human,soln1,00000,754 e dasha and cyclic table,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
human/soln1/00000/0046_754_E._Dasha_and_cyclic_table,human,soln1,00000,754 e dasha and cyclic table,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571 e geometric progressions,noExplicitConstructor,style,398,Struct 'IT' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571 e geometric progressions,shadowVariable,style,398,Local variable 'A' shadows outer variable
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571 e geometric progressions,shadowVariable,style,398,Local variable 'B' shadows outer variable
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571 e geometric progressions,unreadVariable,style,563,Variable 'x2' is assigned a value that is never used.
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571 e geometric progressions,unreadVariable,style,563,Variable 'x2' is assigned a value that is never used.
