sample_id,model,generation,problem_key,cppcheck_cwes,sanitizer_cwes,cppcheck_only,sanitizer_only,both,static_confirmed_dynamically
gemma/gen_1/00000/0006_1149_E._Election_Promises,gemma,gen_1,1149_E_Election_Promises,CWE-571,,CWE-571,,,False
gemma/gen_1/00000/0007_1189_D1._Add_on_a_Tree,gemma,gen_1,1189_D1_Add_on_a_Tree,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0008_1208_D._Restore_Permutation,gemma,gen_1,1208_D_Restore_Permutation,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0009_1227_D1._Optimal_Subsequences__Easy_Version_,gemma,gen_1,1227_D1_Optimal_Subsequences__Easy_Version_,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0010_1269_E._K_Integers,gemma,gen_1,1269_E_K_Integers,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0011_1291_E._Prefix_Enlightenment,gemma,gen_1,1291_E_Prefix_Enlightenment,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0013_1334_D._Minimum_Euler_Cycle,gemma,gen_1,1334_D_Minimum_Euler_Cycle,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0015_1398_A._Bad_Triangle,gemma,gen_1,1398_A_Bad_Triangle,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0016_1421_B._Putting_Bricks_in_the_Wall,gemma,gen_1,1421_B_Putting_Bricks_in_the_Wall,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0017_143_A._Help_Vasilisa_the_Wise_2,gemma,gen_1,143_A_Help_Vasilisa_the_Wise_2,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0020_1513_C._Add_One,gemma,gen_1,1513_C_Add_One,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0021_1540_C1._Converging_Array__Easy_Version_,gemma,gen_1,1540_C1_Converging_Array__Easy_Version_,CWE-398|CWE-457,,CWE-398|CWE-457,,,False
gemma/gen_1/00000/0025_260_B._Ancient_Prophesy,gemma,gen_1,260_B_Ancient_Prophesy,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0027_309_B._Context_Advertising,gemma,gen_1,309_B_Context_Advertising,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
