cwe,model,total_findings,files_affected,count_soln1,count_soln2,count_gen_1,count_gen_2,count_gen_3
CWE-119,human,106,88,53.0,53.0,,,
CWE-119,qwen,0,0,,,,,
CWE-119,gemma,0,0,,,,,
CWE-119,llama,8,8,,,6.0,1.0,1.0
CWE-190,human,1,1,,1.0,,,
CWE-190,qwen,1,1,,,1.0,,
CWE-190,gemma,2,2,,,,1.0,1.0
CWE-190,llama,8,4,,,1.0,7.0,
CWE-197,human,6,6,2.0,4.0,,,
CWE-197,qwen,8,6,,,2.0,5.0,1.0
CWE-197,gemma,4,4,,,2.0,1.0,1.0
CWE-197,llama,8,5,,,2.0,3.0,3.0
CWE-252,human,25,16,11.0,14.0,,,
CWE-252,qwen,1,1,,,,1.0,
CWE-252,gemma,0,0,,,,,
CWE-252,llama,0,0,,,,,
CWE-369,human,5,3,4.0,1.0,,,
CWE-369,qwen,1,1,,,,1.0,
CWE-369,gemma,2,2,,,1.0,1.0,
CWE-369,llama,2,2,,,,1.0,1.0
CWE-391,human,1,1,,1.0,,,
CWE-391,qwen,0,0,,,,,
CWE-391,gemma,0,0,,,,,
CWE-391,llama,5,1,,,,,5.0
CWE-398,human,1410,548,700.0,710.0,,,
CWE-398,qwen,1265,742,,,381.0,414.0,470.0
CWE-398,gemma,1360,791,,,478.0,440.0,442.0
CWE-398,llama,1111,667,,,369.0,379.0,363.0
CWE-457,human,71,38,31.0,40.0,,,
CWE-457,qwen,25,11,,,10.0,9.0,6.0
CWE-457,gemma,17,11,,,7.0,5.0,5.0
CWE-457,llama,31,14,,,8.0,13.0,10.0
CWE-476,human,2,1,2.0,,,,
CWE-476,qwen,0,0,,,,,
CWE-476,gemma,0,0,,,,,
CWE-476,llama,0,0,,,,,
CWE-477,human,9,6,8.0,1.0,,,
CWE-477,qwen,0,0,,,,,
CWE-477,gemma,0,0,,,,,
CWE-477,llama,0,0,,,,,
CWE-561,human,3,3,1.0,2.0,,,
CWE-561,qwen,0,0,,,,,
CWE-561,gemma,0,0,,,,,
CWE-561,llama,1,1,,,1.0,,
CWE-562,human,1,1,1.0,,,,
CWE-562,qwen,0,0,,,,,
CWE-562,gemma,0,0,,,,,
CWE-562,llama,1,1,,,,1.0,
CWE-563,human,548,193,262.0,286.0,,,
CWE-563,qwen,447,198,,,117.0,172.0,158.0
CWE-563,gemma,884,328,,,254.0,344.0,286.0
CWE-563,llama,377,181,,,133.0,126.0,118.0
CWE-570,human,9,9,6.0,3.0,,,
CWE-570,qwen,43,26,,,8.0,17.0,18.0
CWE-570,gemma,67,40,,,33.0,13.0,21.0
CWE-570,llama,13,10,,,4.0,6.0,3.0
CWE-571,human,31,22,13.0,18.0,,,
CWE-571,qwen,28,22,,,7.0,18.0,3.0
CWE-571,gemma,77,48,,,40.0,20.0,17.0
CWE-571,llama,32,25,,,15.0,8.0,9.0
CWE-628,human,2,2,1.0,1.0,,,
CWE-628,qwen,1,1,,,1.0,,
CWE-628,gemma,4,2,,,2.0,,2.0
CWE-628,llama,0,0,,,,,
CWE-664,human,0,0,,,,,
CWE-664,qwen,7,5,,,1.0,3.0,3.0
CWE-664,gemma,0,0,,,,,
CWE-664,llama,10,5,,,2.0,6.0,2.0
CWE-665,human,2,2,,2.0,,,
CWE-665,qwen,0,0,,,,,
CWE-665,gemma,0,0,,,,,
CWE-665,llama,0,0,,,,,
CWE-686,human,27,18,11.0,16.0,,,
CWE-686,qwen,1,1,,,1.0,,
CWE-686,gemma,0,0,,,,,
CWE-686,llama,3,2,,,3.0,,
CWE-704,human,3,3,1.0,2.0,,,
CWE-704,qwen,1,1,,,1.0,,
CWE-704,gemma,0,0,,,,,
CWE-704,llama,0,0,,,,,
CWE-758,human,23,17,16.0,7.0,,,
CWE-758,qwen,9,7,,,2.0,5.0,2.0
CWE-758,gemma,8,7,,,2.0,2.0,4.0
CWE-758,llama,6,6,,,2.0,2.0,2.0
CWE-762,human,0,0,,,,,
CWE-762,qwen,1,1,,,,1.0,
CWE-762,gemma,0,0,,,,,
CWE-762,llama,0,0,,,,,
CWE-772,human,5,4,3.0,2.0,,,
CWE-772,qwen,0,0,,,,,
CWE-772,gemma,0,0,,,,,
CWE-772,llama,0,0,,,,,
CWE-783,human,4,4,3.0,1.0,,,
CWE-783,qwen,1,1,,,1.0,,
CWE-783,gemma,0,0,,,,,
CWE-783,llama,1,1,,,,1.0,
CWE-786,human,12,10,3.0,9.0,,,
CWE-786,qwen,15,11,,,7.0,6.0,2.0
CWE-786,gemma,25,11,,,8.0,9.0,8.0
CWE-786,llama,28,22,,,10.0,14.0,4.0
CWE-788,human,22,18,10.0,12.0,,,
CWE-788,qwen,4,3,,,3.0,,1.0
CWE-788,gemma,0,0,,,,,
CWE-788,llama,14,8,,,2.0,3.0,9.0
CWE-825,human,1,1,,1.0,,,
CWE-825,qwen,7,1,,,,7.0,
CWE-825,gemma,0,0,,,,,
CWE-825,llama,2,1,,,,2.0,
