model,gen1,gen2,cwe_count_gen1,cwe_count_gen2,findings_gen1,findings_gen2,jaccard_similarity,spearman_correlation,bhattacharyya_distance
human,soln1,soln2,21,23,1142,1187,0.76,0.8082551458629593,0.008395056922104458
qwen,gen_1,gen_2,15,13,543,659,0.47368421052631576,0.6396326303769118,0.020720296659586662
qwen,gen_1,gen_3,15,10,543,664,0.6666666666666666,0.8744778365427434,0.010684472666050987
qwen,gen_2,gen_3,13,10,659,664,0.6428571428571429,0.8133798087883212,0.017505986644180977
gemma,gen_1,gen_2,10,10,827,836,0.8181818181818182,0.9087947882736157,0.011460367462409537
gemma,gen_1,gen_3,10,10,827,787,0.8181818181818182,0.92817921664458,0.006240059396050774
gemma,gen_2,gen_3,10,10,836,787,0.8181818181818182,0.9090540859202069,0.003944823340619472
llama,gen_1,gen_2,14,16,558,573,0.6666666666666666,0.7845442304433621,0.015485878261115783
llama,gen_1,gen_3,14,13,558,530,0.6875,0.7713319231665797,0.016805733853790316
llama,gen_2,gen_3,16,13,573,530,0.7058823529411765,0.7602925944833638,0.020087450440589964
