problem_key,shard,tags
1012_E. Cycle sort,00000,dsu|math
1037_E. Trips,00000,graphs
1060_A. Phone Numbers,00000,brute force
1081_G. Mergesort Strikes Back,00000,math|probabilities
1101_A. Minimum Integer,00000,math
1129_D. Isolation,00000,data structures|dp
1149_E. Election Promises,00000,games|graphs
1189_D1. Add on a Tree,00000,trees
1208_D. Restore Permutation,00000,binary search|data structures|greedy|implementation
1227_D1. Optimal Subsequences (Easy Version),00000,data structures|greedy
1269_E. K Integers,00000,binary search|data structures
1291_E. Prefix Enlightenment,00000,dfs and similar|dsu|graphs
1311_F. Moving Points,00000,data structures|divide and conquer|implementation|sortings
1334_D. Minimum Euler Cycle,00000,constructive algorithms|graphs|greedy|implementation
1354_F. Summoning Minions,00000,constructive algorithms|dp|flows|graph matchings|greedy|sortings
1374_E1. Reading Books (easy version),00000,data structures|greedy|sortings
1398_A. Bad Triangle,00000,geometry|math
1421_B. Putting Bricks in the Wall,00000,constructive algorithms|implementation
143_A. Help Vasilisa the Wise 2,00000,brute force|math
1466_F. Euclid's nightmare,00000,bitmasks|dfs and similar|dsu|graphs|greedy|math|sortings
1490_G. Old Floppy Drive ,00000,binary search|data structures|math
1513_C. Add One,00000,dp|matrices
1540_C1. Converging Array (Easy Version),00000,dp|math
168_A. Wizards and Demonstration,00000,implementation|math
20_B. Equation,00000,math
235_D. Graph Game,00000,graphs
260_B. Ancient Prophesy,00000,brute force|implementation|strings
284_B. Cows and Poker Game,00000,brute force|implementation
309_B. Context Advertising,00000,dp|two pointers
331_E2. Deja Vu,00000,constructive algorithms|dp
354_E. Lucky Number Representation,00000,constructive algorithms|dfs and similar|dp
379_A. New Year Candles,00000,implementation
39_H. Multiplication Table,00000,implementation
425_D. Sereja and Squares,00000,binary search|data structures|hashing
44_B. Cola,00000,implementation
494_D. Birthday,00000,data structures|dfs and similar|dp|trees
519_B. A and B and Compilation Errors,00000,data structures|implementation|sortings
545_C. Woodcutters,00000,dp|greedy
571_E. Geometric Progressions,00000,math
593_C. Beautiful Function,00000,constructive algorithms|math
615_A. Bulbs,00000,implementation
634_C. Factory Repairs,00000,data structures
663_A. Rebus,00000,constructive algorithms|expression parsing|greedy|math
687_D. Dividing Kingdom II,00000,brute force|data structures|dsu|graphs|sortings
70_C. Lucky Tickets,00000,binary search|data structures|sortings|two pointers
730_J. Bottles,00000,dp
754_E. Dasha and cyclic table,00000,bitmasks|brute force|fft|strings|trees
776_A. A Serial Killer,00000,brute force|implementation|strings
7_B. Memory Manager,00000,implementation
820_D. Mister B and PR Shifts,00000,data structures|implementation|math
846_E. Chemistry in Berland,00000,dfs and similar|greedy|trees
868_A. Bark to Unlock,00000,brute force|implementation|strings
893_D. Credit Card,00000,data structures|dp|greedy|implementation
915_A. Garden,00000,implementation
938_B. Run For Your Prize,00000,brute force|greedy
963_B. Destruction of a Tree,00000,constructive algorithms|dfs and similar|dp|greedy|trees
990_E. Post Lamps,00000,brute force|greedy
p02613 AtCoder Beginner Contest 173 - Judge Status Summary,00000,
p02744 Panasonic Programming Contest 2020 - String Equivalence,00000,
p02879 AtCoder Beginner Contest 144 - 9x9,00000,
p03013 AtCoder Beginner Contest 129 - Typical Stairs,00000,
p03153 KEYENCE Programming Contest 2019 - Connecting Cities,00000,
p03297 AtCoder Grand Contest 026 - rng_10s,00000,
p03455 AtCoder Beginner Contest 086 - Product,00000,
p03616 AtCoder Regular Contest 082 - Sandglass,00000,
p03774 AtCoder Beginner Contest 057 - Checkpoints,00000,
p03943 AtCoder Beginner Contest 047 - Fighting over Candies,00000,
p00035 Is it Convex?,00000,
p00167 Bubble Sort,00000,
p00323 Metal Recycling,00000,
p00493 Zig-Zag Numbers,00000,
p00680 KND Factory,00000,
p00822 Weather Forecast,00000,
p00953 Animal Companion in Maze,00000,
p01086 Short Phrase,00000,
p01222 Walk under a Scorching Sun,00000,
p01356 Nearest Station,00000,
p01538 Kakezan,00000,
p01694 Step Aerobics,00000,
p01838 Optimal Tournament,00000,
p01974 Pigeonhole principle,00000,
p02120 Cluster Network,00000,
p02260 Selection Sort,00000,
p02408 Finding Missing Cards,00000,
101_C. Vectors,00000,implementation|math
1043_A. Elections,00000,implementation|math
1065_F. Up and Down the Tree,00000,dfs and similar|dp|trees
1088_D. Ehab and another another xor problem,00000,bitmasks|constructive algorithms|implementation|interactive
1107_D. Compression,00000,dp|implementation|math|number theory
1136_D. Nastya Is Buying Lunch,00000,greedy
1155_A. Reverse a Substring,00000,implementation|sortings|strings
1176_F. Destroy it!,00000,dp|implementation|sortings
1195_D2. Submarine in the Rybinsk Sea (hard edition),00000,combinatorics|math|number theory
1236_A. Stones,00000,brute force|greedy|math
1253_F. Cheap Robot,00000,binary search|dsu|graphs|shortest paths|trees
1277_E. Two Fairs,00000,combinatorics|dfs and similar|dsu|graphs
1320_F. Blocks and Sensors,00000,brute force
133_D. Piet,00000,implementation
1361_E. James and the Chase,00000,dfs and similar|graphs|probabilities|trees
1382_A. Common Subsequence,00000,brute force
1424_N. BubbleSquare Tokens,00000,
1446_D2. Frequency Problem (Hard Version),00000,data structures|greedy|two pointers
1470_E. Strange Permutation,00000,binary search|combinatorics|data structures|dp|graphs|implementation|two pointers
1497_D. Genius,00000,bitmasks|dp|graphs|number theory
151_C. Win or Freeze,00000,games|math|number theory
1547_C. Pair Programming,00000,greedy|two pointers
174_E. Ancient Berland Hieroglyphs,00000,two pointers
195_A. Let's Watch Football,00000,binary search|brute force|math
219_A. k-String,00000,implementation|strings
242_C. King's Path,00000,dfs and similar|graphs|hashing|shortest paths
268_A. Games,00000,brute force
290_D. Orange,00000,*special|implementation
316_B2. EKG,00000,dfs and similar|dp
339_A. Helpful Maths,00000,greedy|implementation|sortings|strings
361_C. Levko and Array Recovery,00000,greedy|implementation
385_A. Bear and Raspberry,00000,brute force|greedy|implementation
405_E. Graph Cutting,00000,dfs and similar|graphs
433_A. Kitahara Haruki's Gift,00000,brute force|implementation
455_C. Civilization,00000,dfs and similar|dp|dsu|ternary search|trees
478_A. Initial Bet,00000,implementation
500_C. New Year Book Reading,00000,constructive algorithms|greedy|implementation|math
526_A. King of Thieves,00000,brute force|implementation
551_B. ZgukistringZ,00000,brute force|constructive algorithms|implementation|strings
578_C. Weakness and Poorness,00000,ternary search
5_A. Chat Server's Outgoing Traffic,00000,implementation
621_D. Rat Kwesh and Cheese,00000,brute force|constructive algorithms|math
643_B. Bear and Two Paths,00000,constructive algorithms|graphs
670_B. Game of Robots,00000,implementation
691_D. Swaps in Permutation,00000,dfs and similar|dsu|math
716_D. Complete The Graph,00000,binary search|constructive algorithms|graphs|shortest paths
737_A. Road to Cinema,00000,binary search|greedy|sortings
760_F. Bacterial Melee,00000,brute force|combinatorics|dp|string suffix structures
784_B. Kids' Riddle,00000,*special
805_A. Fake NP,00000,greedy|math
