tag,total,passing,fail_pct
flows,41,0,100.0
interactive,77,0,100.0
geometry,163,2,98.8
matrices,60,2,96.7
games,117,6,94.9
probabilities,113,6,94.7
graphs,535,34,93.6
constructive algorithms,690,45,93.5
trees,336,23,93.2
dfs and similar,395,30,92.4
combinatorics,230,18,92.2
dp,944,77,91.8
shortest paths,118,11,90.7
number theory,277,30,89.2
dsu,185,23,87.6
greedy,1112,147,86.8
ternary search,49,7,85.7
string suffix structures,40,6,85.0
binary search,489,80,83.6
math,1055,177,83.2
data structures,693,120,82.7
two pointers,235,43,81.7
bitmasks,242,46,81.0
divide and conquer,137,31,77.4
*special,66,15,77.3
fft,61,14,77.0
hashing,39,9,76.9
brute force,803,188,76.6
sortings,521,124,76.2
implementation,1356,390,71.2
graph matchings,48,14,70.8
strings,324,96,70.4
