model,gen,total_per_file,security_per_file,bugprone_per_file,analyzer_per_file,n_files
human,soln1,10.12,2.465,2.019,0.447,851
human,soln2,10.026,2.53,2.038,0.492,844
gemma,gen_1,6.542,0.511,0.389,0.122,745
gemma,gen_2,6.912,0.554,0.389,0.165,740
gemma,gen_3,6.997,0.537,0.404,0.133,753
llama,gen_1,5.069,0.649,0.539,0.11,849
llama,gen_2,4.951,0.646,0.56,0.086,800
llama,gen_3,4.96,0.615,0.518,0.097,847
qwen,gen_1,4.001,0.625,0.556,0.068,850
qwen,gen_2,4.928,0.576,0.488,0.087,823
qwen,gen_3,4.971,0.605,0.509,0.097,816
