model,gen1,gen2,jaccard_similarity,spearman_correlation,types_gen1,types_gen2
gemma,gen_1,gen_2,0.5952380952380952,0.8971242577117717,39,28
gemma,gen_1,gen_3,0.6904761904761905,0.9839342940460156,39,32
gemma,gen_2,gen_3,0.6666666666666666,0.939418227539025,28,32
llama,gen_1,gen_2,0.582089552238806,0.8926214245853388,56,50
llama,gen_1,gen_3,0.5428571428571428,0.9141980017657556,56,52
llama,gen_2,gen_3,0.6721311475409836,0.8959254448830952,50,52
qwen,gen_1,gen_2,0.6666666666666666,0.8118488251490437,56,49
qwen,gen_1,gen_3,0.6307692307692307,0.8393980354531757,56,50
qwen,gen_2,gen_3,0.6229508196721312,0.8564478195073749,49,50
human,soln1,soln2,0.6914893617021277,0.8972416292307381,82,77
