model,status,cppcheck_cwe_per_file,clang_security_per_file,clang_total_per_file,n_files
human,passing,0.579,1.888,7.846,748
human,compiled (failing),0.61,3.007,11.655,917
human,not compiled,0.767,2.133,17.233,30
gemma,passing,0.394,0.279,3.751,269
gemma,compiled (failing),0.555,0.583,7.093,1749
gemma,not compiled,0.768,0.455,8.382,220
llama,passing,0.242,0.225,3.18,289
llama,compiled (failing),0.377,0.654,4.722,1983
llama,not compiled,0.656,1.013,9.75,224
qwen,passing,0.35,0.233,2.587,206
qwen,compiled (failing),0.402,0.584,4.297,2084
qwen,not compiled,0.653,1.176,10.181,199
