model,generation,instruction_id,error_id,severity,cwe,cwe_category
human,soln1,113,unusedVariable,style,563.0,Other
human,soln1,113,unusedVariable,style,563.0,Other
human,soln1,171,variableScope,style,398.0,Other
human,soln1,171,shadowVariable,style,398.0,Other
human,soln1,171,shadowVariable,style,398.0,Other
human,soln1,171,useStlAlgorithm,style,398.0,Other
human,soln1,171,uninitvar,warning,457.0,Null / Initialization
human,soln1,171,legacyUninitvar,error,457.0,Null / Initialization
human,soln1,171,unreadVariable,style,563.0,Other
human,soln1,171,unreadVariable,style,563.0,Other
human,soln1,9,shadowVariable,style,398.0,Other
human,soln1,9,shadowVariable,style,398.0,Other
human,soln1,234,shadowVariable,style,398.0,Other
human,soln1,201,unpreciseMathCall,style,758.0,Logic / Undefined Behavior
human,soln1,201,shadowVariable,style,398.0,Other
human,soln1,142,invalidscanf,warning,119.0,Memory Safety
human,soln1,115,variableScope,style,398.0,Other
human,soln1,115,variableScope,style,398.0,Other
human,soln1,133,useStlAlgorithm,style,398.0,Other
human,soln1,133,useStlAlgorithm,style,398.0,Other
human,soln1,133,postfixOperator,performance,398.0,Other
human,soln1,133,postfixOperator,performance,398.0,Other
human,soln1,266,variableScope,style,398.0,Other
human,soln1,266,variableScope,style,398.0,Other
human,soln1,266,unreadVariable,style,563.0,Other
human,soln1,266,unusedVariable,style,563.0,Other
human,soln1,266,unreadVariable,style,563.0,Other
human,soln1,266,unreadVariable,style,563.0,Other
human,soln1,26,getsCalled,warning,477.0,Other
human,soln1,199,invalidscanf,warning,119.0,Memory Safety
human,soln1,209,variableScope,style,398.0,Other
human,soln1,209,variableScope,style,398.0,Other
human,soln1,159,danglingLifetime,error,562.0,Other
human,soln1,159,uninitMemberVar,warning,398.0,Other
human,soln1,159,functionStatic,style,398.0,Other
human,soln1,159,noExplicitConstructor,style,398.0,Other
human,soln1,159,useStlAlgorithm,style,398.0,Other
human,soln1,181,uninitvar,warning,457.0,Null / Initialization
human,soln1,181,uninitvar,warning,457.0,Null / Initialization
human,soln1,212,variableScope,style,398.0,Other
human,soln1,261,shadowVariable,style,398.0,Other
human,soln1,261,shadowVariable,style,398.0,Other
human,soln1,261,shadowVariable,style,398.0,Other
human,soln1,261,constVariableReference,style,398.0,Other
human,soln1,261,unreadVariable,style,563.0,Other
human,soln1,129,functionConst,style,398.0,Other
human,soln1,129,noExplicitConstructor,style,398.0,Other
human,soln1,105,arrayIndexThenCheck,style,398.0,Other
human,soln1,105,arrayIndexThenCheck,style,398.0,Other
human,soln1,105,arrayIndexThenCheck,style,398.0,Other
human,soln1,105,arrayIndexThenCheck,style,398.0,Other
human,soln1,105,shadowVariable,style,398.0,Other
human,soln1,157,useInitializationList,performance,398.0,Other
human,soln1,157,useInitializationList,performance,398.0,Other
human,soln1,157,functionConst,style,398.0,Other
human,soln1,157,constParameterReference,style,398.0,Other
human,soln1,157,constVariable,style,398.0,Other
human,soln1,41,knownConditionTrueFalse,style,571.0,Logic / Undefined Behavior
human,soln1,163,uninitMemberVar,warning,398.0,Other
human,soln1,163,uninitMemberVar,warning,398.0,Other
human,soln1,163,uninitMemberVar,warning,398.0,Other
human,soln1,163,uninitMemberVar,warning,398.0,Other
human,soln1,163,uninitMemberVar,warning,398.0,Other
human,soln1,163,invalidscanf,warning,119.0,Memory Safety
human,soln1,163,passedByValue,performance,398.0,Other
human,soln1,163,passedByValue,performance,398.0,Other
human,soln1,12,functionConst,style,398.0,Other
human,soln1,12,noExplicitConstructor,style,398.0,Other
human,soln1,76,compareValueOutOfTypeRangeError,style,398.0,Other
human,soln1,76,shadowVariable,style,398.0,Other
human,soln1,134,functionStatic,style,398.0,Other
human,soln1,22,variableScope,style,398.0,Other
human,soln1,245,uninitMemberVar,warning,398.0,Other
human,soln1,245,uninitMemberVar,warning,398.0,Other
human,soln1,245,uninitMemberVar,warning,398.0,Other
human,soln1,245,uninitMemberVar,warning,398.0,Other
human,soln1,245,knownConditionTrueFalse,style,571.0,Logic / Undefined Behavior
human,soln1,245,constParameterReference,style,398.0,Other
human,soln1,161,useStlAlgorithm,style,398.0,Other
human,soln1,126,unusedVariable,style,563.0,Other
human,soln1,24,variableScope,style,398.0,Other
human,soln1,24,variableScope,style,398.0,Other
human,soln1,24,variableScope,style,398.0,Other
human,soln1,205,invalidscanf,warning,119.0,Memory Safety
human,soln1,205,shadowVariable,style,398.0,Other
human,soln1,168,constParameterReference,style,398.0,Other
human,soln1,190,passedByValue,performance,398.0,Other
human,soln1,187,shadowVariable,style,398.0,Other
human,soln1,187,constVariableReference,style,398.0,Other
human,soln1,187,uninitvar,warning,457.0,Null / Initialization
human,soln1,187,uninitvar,warning,457.0,Null / Initialization
human,soln1,172,useStlAlgorithm,style,398.0,Other
human,soln1,172,unreadVariable,style,563.0,Other
human,soln1,172,unreadVariable,style,563.0,Other
human,soln1,254,unreadVariable,style,563.0,Other
human,soln1,254,unreadVariable,style,563.0,Other
human,soln1,254,unreadVariable,style,563.0,Other
human,soln1,254,unreadVariable,style,563.0,Other
human,soln1,216,getsCalled,warning,477.0,Other
human,soln1,216,getsCalled,warning,477.0,Other
human,soln1,249,knownConditionTrueFalse,style,571.0,Logic / Undefined Behavior
human,soln1,249,knownConditionTrueFalse,style,571.0,Logic / Undefined Behavior
human,soln1,249,variableScope,style,398.0,Other
human,soln1,249,unreadVariable,style,563.0,Other
human,soln1,249,unreadVariable,style,563.0,Other
human,soln1,46,invalidscanf,warning,119.0,Memory Safety
human,soln1,46,invalidscanf,warning,119.0,Memory Safety
human,soln1,272,shadowVariable,style,398.0,Other
human,soln1,247,noExplicitConstructor,style,398.0,Other
human,soln1,247,useStlAlgorithm,style,398.0,Other
human,soln1,200,shadowVariable,style,398.0,Other
human,soln1,243,uninitMemberVar,warning,398.0,Other
human,soln1,243,uninitMemberVar,warning,398.0,Other
human,soln1,243,uninitMemberVar,warning,398.0,Other
human,soln1,243,uninitMemberVar,warning,398.0,Other
human,soln1,243,uninitMemberVar,warning,398.0,Other
human,soln1,243,variableScope,style,398.0,Other
human,soln1,243,constVariableReference,style,398.0,Other
human,soln1,125,useStlAlgorithm,style,398.0,Other
human,soln1,27,internalAstError,error,,Other
human,soln1,150,arrayIndexOutOfBoundsCond,warning,788.0,Other
human,soln1,71,uninitMemberVar,warning,398.0,Other
human,soln1,71,uninitMemberVar,warning,398.0,Other
human,soln1,71,uninitMemberVar,warning,398.0,Other
human,soln1,71,uninitMemberVar,warning,398.0,Other
human,soln1,71,uninitMemberVar,warning,398.0,Other
human,soln1,71,noExplicitConstructor,style,398.0,Other
human,soln1,102,uninitMemberVar,warning,398.0,Other
human,soln1,102,shadowVariable,style,398.0,Other
human,soln1,179,passedByValue,performance,398.0,Other
human,soln1,179,useStlAlgorithm,style,398.0,Other
human,soln1,179,unusedVariable,style,563.0,Other
human,soln1,179,unusedVariable,style,563.0,Other
human,soln1,179,unusedVariable,style,563.0,Other
human,soln1,179,unusedVariable,style,563.0,Other
human,soln1,179,unusedVariable,style,563.0,Other
human,soln1,29,constVariableReference,style,398.0,Other
human,soln1,29,constVariableReference,style,398.0,Other
human,soln1,29,constVariableReference,style,398.0,Other
human,soln1,29,constVariableReference,style,398.0,Other
human,soln1,274,variableScope,style,398.0,Other
human,soln1,274,variableScope,style,398.0,Other
human,soln1,274,shiftNegativeLHS,portability,758.0,Logic / Undefined Behavior
human,soln1,274,shiftNegativeLHS,portability,758.0,Logic / Undefined Behavior
human,soln1,274,shiftNegativeLHS,portability,758.0,Logic / Undefined Behavior
human,soln1,55,iterateByValue,performance,398.0,Other
human,soln1,55,useStlAlgorithm,style,398.0,Other
human,soln1,35,uninitMemberVar,warning,398.0,Other
human,soln1,35,functionConst,style,398.0,Other
human,soln1,35,noExplicitConstructor,style,398.0,Other
human,soln1,35,shadowVariable,style,398.0,Other
human,soln1,35,shadowVariable,style,398.0,Other
human,soln1,35,shadowVariable,style,398.0,Other
human,soln1,35,unreadVariable,style,563.0,Other
human,soln1,35,unreadVariable,style,563.0,Other
human,soln1,35,unreadVariable,style,563.0,Other
human,soln1,222,invalidscanf,warning,119.0,Memory Safety
human,soln1,222,invalidscanf,warning,119.0,Memory Safety
human,soln1,222,shadowVariable,style,398.0,Other
human,soln1,222,shadowVariable,style,398.0,Other
human,soln1,73,noExplicitConstructor,style,398.0,Other
human,soln1,73,constVariableReference,style,398.0,Other
human,soln1,73,constVariableReference,style,398.0,Other
human,soln1,73,useStlAlgorithm,style,398.0,Other
human,soln1,53,uninitvar,warning,457.0,Null / Initialization
human,soln1,53,legacyUninitvar,error,457.0,Null / Initialization
human,soln1,39,constParameterReference,style,398.0,Other
human,soln1,25,constVariablePointer,style,398.0,Other
human,soln1,101,containerOutOfBounds,error,398.0,Other
human,soln1,242,shadowVariable,style,398.0,Other
human,soln1,242,shadowVariable,style,398.0,Other
human,soln1,242,passedByValue,performance,398.0,Other
human,soln1,242,passedByValue,performance,398.0,Other
human,soln1,242,useStlAlgorithm,style,398.0,Other
human,soln1,242,unreadVariable,style,563.0,Other
human,soln1,244,invalidscanf,warning,119.0,Memory Safety
human,soln1,130,shadowVariable,style,398.0,Other
human,soln1,40,shadowVariable,style,398.0,Other
human,soln1,40,useStlAlgorithm,style,398.0,Other
