tag,human,gemma,llama,qwen
string suffix structures,1.8,0.364,0.4,0.857
matrices,1.143,1.0,0.714,0.524
strings,0.961,0.394,0.447,0.45
interactive,0.944,0.652,0.519,0.333
geometry,0.825,0.34,0.526,0.441
divide and conquer,0.812,0.636,0.435,0.383
trees,0.762,0.873,0.565,0.58
combinatorics,0.759,0.75,0.3,0.372
two pointers,0.732,0.521,0.325,0.39
data structures,0.728,0.638,0.421,0.508
constructive algorithms,0.718,0.626,0.462,0.486
fft,0.714,0.65,0.333,0.5
binary search,0.711,0.574,0.337,0.411
flows,0.7,0.75,0.467,0.5
number theory,0.697,0.391,0.287,0.229
probabilities,0.679,0.548,0.439,0.561
brute force,0.67,0.472,0.343,0.414
graphs,0.669,0.919,0.608,0.667
greedy,0.637,0.583,0.35,0.39
dfs and similar,0.625,0.86,0.55,0.603
shortest paths,0.607,1.0,0.6,0.61
sortings,0.607,0.562,0.388,0.475
dp,0.601,0.653,0.363,0.429
dsu,0.591,0.93,0.613,0.742
ternary search,0.583,0.429,0.389,0.647
math,0.571,0.477,0.31,0.341
implementation,0.568,0.516,0.371,0.385
*special,0.5,0.105,0.208,0.13
bitmasks,0.5,0.603,0.346,0.47
games,0.429,0.722,0.436,0.357
graph matchings,0.417,0.357,0.529,0.353
