tag,human,gemma,llama,qwen
*special,0.385,0.0,0.125,0.0
binary search,0.655,0.419,0.438,0.294
bitmasks,0.591,0.556,0.158,0.556
brute force,0.557,0.362,0.275,0.34
combinatorics,0.795,0.5,0.143,0.2
constructive algorithms,0.735,0.538,0.25,0.625
data structures,0.6,0.418,0.333,0.538
dfs and similar,0.412,0.417,0.429,0.636
divide and conquer,0.875,0.429,0.1,0.143
dp,0.573,0.379,0.188,0.312
dsu,0.467,1.0,0.75,0.889
fft,0.778,0.4,0.0,0.333
games,0.625,0.0,0.0,0.0
geometry,0.524,0.0,,
graph matchings,0.222,0.0,0.25,0.0
graphs,0.662,0.706,0.25,0.667
greedy,0.611,0.208,0.141,0.171
implementation,0.504,0.387,0.27,0.319
math,0.529,0.417,0.262,0.386
number theory,0.634,0.0,0.111,0.222
shortest paths,0.5,1.0,0.6,0.667
sortings,0.505,0.359,0.294,0.412
strings,0.967,0.3,0.053,0.286
trees,0.612,0.182,0.2,0.286
two pointers,0.707,0.267,0.286,0.214
