model,generation,n_samples,compiled,has_tests,compile_rate
gemma,gen_1,745,668,402,0.8966442953020134
gemma,gen_2,740,667,400,0.9013513513513514
gemma,gen_3,753,683,404,0.9070385126162018
human,soln1,851,831,494,0.9764982373678026
human,soln2,844,834,500,0.9881516587677726
llama,gen_1,849,763,468,0.8987043580683156
llama,gen_2,800,736,438,0.92
llama,gen_3,847,773,476,0.9126328217237308
qwen,gen_1,850,788,479,0.9270588235294117
qwen,gen_2,823,745,451,0.905224787363305
qwen,gen_3,816,757,449,0.9276960784313726
