model,generation,ERROR,FAILED,PARSE_ERROR,SUCCESS,TIMEOUT,total,FAILED_rate,SUCCESS_rate,PARSE_ERROR_rate,TIMEOUT_rate,analyzable,coverage_rate,failure_rate_of_analyzable
gemma,gen_1,0,73,175,225,272,745,0.098,0.302,0.235,0.365,298,0.4,0.245
gemma,gen_2,0,81,173,221,265,740,0.109,0.299,0.234,0.358,302,0.408,0.268
gemma,gen_3,0,80,159,224,290,753,0.106,0.297,0.211,0.385,304,0.404,0.263
human,soln1,1,7,766,44,33,851,0.008,0.052,0.9,0.039,51,0.06,0.137
human,soln2,2,14,757,47,24,844,0.017,0.056,0.897,0.028,61,0.072,0.23
llama,gen_1,2,83,477,154,133,849,0.098,0.181,0.562,0.157,237,0.279,0.35
llama,gen_2,1,92,393,154,160,800,0.115,0.192,0.491,0.2,246,0.308,0.374
llama,gen_3,1,96,416,160,174,847,0.113,0.189,0.491,0.205,256,0.302,0.375
qwen,gen_1,18,33,694,74,31,850,0.039,0.087,0.816,0.036,107,0.126,0.308
qwen,gen_2,11,55,511,122,124,823,0.067,0.148,0.621,0.151,177,0.215,0.311
qwen,gen_3,10,47,518,126,115,816,0.058,0.154,0.635,0.141,173,0.212,0.272
