tag,generation,mean_pass_rate,n
binary search,gen_1,0.4673095312966901,45
binary search,gen_2,0.4183781367139797,46
binary search,gen_3,0.40490042672266097,48
bitmasks,gen_1,0.5486053582218372,24
bitmasks,gen_2,0.5926332775498192,22
bitmasks,gen_3,0.5177729435333367,23
brute force,gen_1,0.5338262519267399,77
brute force,gen_2,0.5402058327148601,77
brute force,gen_3,0.5689683131068167,74
combinatorics,gen_1,0.5272267670733426,16
combinatorics,gen_2,0.48605718293689215,18
combinatorics,gen_3,0.5356213238182799,18
constructive algorithms,gen_1,0.26083304279705755,61
constructive algorithms,gen_2,0.2424614685027968,56
constructive algorithms,gen_3,0.2382988153687967,63
data structures,gen_1,0.5315944931843507,58
data structures,gen_2,0.5402359156188766,58
data structures,gen_3,0.5716303932505888,60
dfs and similar,gen_1,0.28504333403405385,24
dfs and similar,gen_2,0.3439552302487896,20
dfs and similar,gen_3,0.40427723493479617,22
dp,gen_1,0.44825818605972567,76
dp,gen_2,0.460662121768492,64
dp,gen_3,0.45359477332639453,75
geometry,gen_2,0.3440577169988935,15
graphs,gen_1,0.30542106328633845,31
graphs,gen_2,0.29981347469367237,39
graphs,gen_3,0.40247235769966017,35
greedy,gen_1,0.47507809621758884,86
greedy,gen_2,0.44068066135637984,93
greedy,gen_3,0.4475032704394568,88
implementation,gen_1,0.5681668686580211,132
implementation,gen_2,0.5553287015461879,128
implementation,gen_3,0.5877642588988065,130
math,gen_1,0.4982476577542255,95
math,gen_2,0.4982898515248907,95
math,gen_3,0.5229606461673301,99
number theory,gen_1,0.4175850176509394,24
number theory,gen_2,0.48914943333042543,25
number theory,gen_3,0.5103296556024642,24
sortings,gen_1,0.5431070381749713,46
sortings,gen_2,0.4853865956548091,44
sortings,gen_3,0.5260339584037386,45
strings,gen_1,0.562057142290844,32
strings,gen_2,0.5548945972296139,30
strings,gen_3,0.6188824061195939,31
trees,gen_1,0.32883949991314676,21
trees,gen_2,0.34368238731592765,22
trees,gen_3,0.44618648971876085,23
two pointers,gen_1,0.5282364429413109,22
two pointers,gen_2,0.49404085417129195,22
two pointers,gen_3,0.5874960006012668,22
