tag,gen_1,gen_2,gen_3
constructive algorithms,0.26083304279705755,0.2424614685027968,0.2382988153687967
graphs,0.30542106328633845,0.29981347469367237,0.40247235769966017
dfs and similar,0.28504333403405385,0.3439552302487896,0.40427723493479617
binary search,0.4673095312966901,0.4183781367139797,0.40490042672266097
trees,0.32883949991314676,0.34368238731592765,0.44618648971876085
greedy,0.47507809621758884,0.44068066135637984,0.4475032704394568
dp,0.44825818605972567,0.460662121768492,0.45359477332639453
number theory,0.4175850176509394,0.48914943333042543,0.5103296556024642
bitmasks,0.5486053582218372,0.5926332775498192,0.5177729435333367
math,0.4982476577542255,0.4982898515248907,0.5229606461673301
sortings,0.5431070381749713,0.4853865956548091,0.5260339584037386
combinatorics,0.5272267670733426,0.48605718293689215,0.5356213238182799
brute force,0.5338262519267399,0.5402058327148601,0.5689683131068167
data structures,0.5315944931843507,0.5402359156188766,0.5716303932505888
two pointers,0.5282364429413109,0.49404085417129195,0.5874960006012668
implementation,0.5681668686580211,0.5553287015461879,0.5877642588988065
strings,0.562057142290844,0.5548945972296139,0.6188824061195939
