tag,mean_pass_rate,n
constructive algorithms,0.2424614685027968,56
graphs,0.29981347469367237,39
shortest paths,0.33144385026737966,10
trees,0.34368238731592765,22
dfs and similar,0.3439552302487896,20
geometry,0.3440577169988935,15
binary search,0.4183781367139797,46
greedy,0.44068066135637984,93
dp,0.460662121768492,64
divide and conquer,0.4705128205128205,13
sortings,0.4853865956548091,44
combinatorics,0.48605718293689215,18
number theory,0.48914943333042543,25
two pointers,0.49404085417129195,22
math,0.4982898515248907,95
dsu,0.5117957622808369,13
brute force,0.5402058327148601,77
data structures,0.5402359156188766,58
strings,0.5548945972296139,30
implementation,0.5553287015461879,128
bitmasks,0.5926332775498192,22
