tag,gen_1,gen_2,gen_3
binary search,19.6,19.6,20.8
bitmasks,25.9,24.0,19.2
brute force,26.2,27.7,29.6
combinatorics,8.7,8.3,8.0
constructive algorithms,7.5,6.5,5.8
data structures,22.7,24.3,26.7
dfs and similar,7.3,11.1,13.5
divide and conquer,33.3,33.3,28.6
dp,9.2,11.1,10.3
dsu,14.3,16.7,22.2
geometry,0.0,0.0,14.3
graphs,9.3,9.4,13.2
greedy,15.5,13.8,13.6
implementation,31.5,30.7,33.8
math,22.0,19.1,23.7
number theory,13.8,10.3,17.2
sortings,25.9,20.8,25.5
strings,26.5,29.4,35.5
trees,8.6,8.8,15.2
two pointers,20.0,20.8,20.8
