tags,human,ai_avg,human_ai_gap
geometry|math,100.0,2.766666666666667,97.23333333333333
bitmasks|dp,100.0,14.6,85.4
dp,86.4,1.0333333333333334,85.36666666666667
math,86.7,16.866666666666667,69.83333333333334
constructive algorithms|math,70.0,4.433333333333334,65.56666666666666
constructive algorithms|greedy,87.5,22.233333333333334,65.26666666666667
implementation|math,88.9,30.666666666666668,58.233333333333334
greedy,65.2,7.8,57.400000000000006
dfs and similar|dsu|graphs,87.5,33.333333333333336,54.166666666666664
implementation|strings,91.7,40.49999999999999,51.20000000000001
brute force|math|number theory,75.0,25.0,50.0
greedy|implementation,62.5,13.266666666666666,49.233333333333334
implementation,93.1,43.9,49.199999999999996
brute force|implementation|strings,87.5,38.86666666666667,48.63333333333333
brute force|implementation,83.3,42.699999999999996,40.6
constructive algorithms,28.6,0.0,28.6
brute force,68.8,51.46666666666667,17.33333333333333
data structures,50.0,32.800000000000004,17.199999999999996
constructive algorithms|implementation,40.0,25.46666666666667,14.533333333333331
dfs and similar|graphs,20.0,6.066666666666666,13.933333333333334
