tag,generation,mean_pass_rate,n
binary search,soln1,0.8484278236264181,53
binary search,soln2,0.8521309213271413,53
bitmasks,soln1,0.940052053209948,26
bitmasks,soln2,0.9006747638326585,26
brute force,soln1,0.8635644880036543,87
brute force,soln2,0.8816925432665109,89
combinatorics,soln1,0.9373706004140787,23
combinatorics,soln2,0.8409090909090909,22
constructive algorithms,soln1,0.6415386639957548,81
constructive algorithms,soln2,0.5582791910735013,80
data structures,soln1,0.8337400034857222,72
data structures,soln2,0.8444693702672426,72
dfs and similar,soln1,0.7281343700168275,39
dfs and similar,soln2,0.7686633709944016,43
dp,soln1,0.8855954258383419,102
dp,soln2,0.8846338471133548,103
dsu,soln1,0.8435672514619883,19
dsu,soln2,0.8835087719298245,19
geometry,soln1,0.6136950904392765,18
geometry,soln2,0.6322990890820348,18
graphs,soln1,0.7533330037139826,55
graphs,soln2,0.8189033458731761,58
greedy,soln1,0.8668249150885381,121
greedy,soln2,0.8640690152842596,118
implementation,soln1,0.9065139331048443,146
implementation,soln2,0.8742547340765505,149
math,soln1,0.8926882050996793,112
math,soln2,0.9114590824721873,112
number theory,soln1,0.8244719251336898,28
number theory,soln2,0.794436833178625,29
sortings,soln1,0.8960236074737754,57
sortings,soln2,0.8435957721512033,57
strings,soln1,0.912835665172921,31
strings,soln2,0.9516908212560387,36
trees,soln1,0.673892454327237,37
trees,soln2,0.7813432161258248,37
two pointers,soln1,0.8646928755135442,25
two pointers,soln2,0.8804995241165453,27
