tag,soln1,soln2
binary search,0.8484278236264181,0.8521309213271413
bitmasks,0.940052053209948,0.9006747638326585
brute force,0.8635644880036543,0.8816925432665109
combinatorics,0.9373706004140787,0.8409090909090909
constructive algorithms,0.6415386639957548,0.5582791910735013
data structures,0.8337400034857222,0.8444693702672426
dfs and similar,0.7281343700168275,0.7686633709944016
dp,0.8855954258383419,0.8846338471133548
dsu,0.8435672514619883,0.8835087719298245
geometry,0.6136950904392765,0.6322990890820348
graphs,0.7533330037139826,0.8189033458731761
greedy,0.8668249150885381,0.8640690152842596
implementation,0.9065139331048443,0.8742547340765505
math,0.8926882050996793,0.9114590824721873
number theory,0.8244719251336898,0.794436833178625
sortings,0.8960236074737754,0.8435957721512033
strings,0.912835665172921,0.9516908212560387
trees,0.673892454327237,0.7813432161258248
two pointers,0.8646928755135442,0.8804995241165453
