tag,generation,mean_pass_rate,n
binary search,gen_1,0.39898231380068117,51
binary search,gen_2,0.38672861172014306,45
binary search,gen_3,0.4528421841128611,51
bitmasks,gen_1,0.4414186154385727,23
bitmasks,gen_2,0.45537242804592126,24
bitmasks,gen_3,0.4743822974614953,24
brute force,gen_1,0.49943475249611746,82
brute force,gen_2,0.5143643609654805,82
brute force,gen_3,0.5582679033891931,83
combinatorics,gen_1,0.3540253260992689,22
combinatorics,gen_2,0.33363487433792116,21
combinatorics,gen_3,0.43584620192795176,21
constructive algorithms,gen_1,0.2856138638341971,74
constructive algorithms,gen_2,0.26928798068955273,73
constructive algorithms,gen_3,0.2431095571736604,79
data structures,gen_1,0.444264256895217,68
data structures,gen_2,0.4073003890052437,56
data structures,gen_3,0.41660704890651773,69
dfs and similar,gen_1,0.26070028198352746,34
dfs and similar,gen_2,0.2149188416551447,35
dfs and similar,gen_3,0.3077330955474836,39
dp,gen_1,0.30188662149708195,92
dp,gen_2,0.2989388878382367,85
dp,gen_3,0.31967232968923737,96
dsu,gen_1,0.4308842539439554,15
dsu,gen_3,0.27838680139757704,19
geometry,gen_1,0.3136536230653878,15
graphs,gen_1,0.30158371234945863,44
graphs,gen_2,0.2568634162103269,43
graphs,gen_3,0.3112281960754782,55
greedy,gen_1,0.41329719564101053,116
greedy,gen_2,0.42605211540263316,111
greedy,gen_3,0.44764060411417567,113
implementation,gen_1,0.531182399685956,147
implementation,gen_2,0.5678844926195497,136
implementation,gen_3,0.5322928863155615,141
math,gen_1,0.42308686448536575,110
math,gen_2,0.43854668397131585,101
math,gen_3,0.444608233033792,108
number theory,gen_1,0.37197109169469117,28
number theory,gen_2,0.4309199534888138,23
number theory,gen_3,0.43005340132594067,29
sortings,gen_1,0.5328338820968188,53
sortings,gen_2,0.5456316627229563,50
sortings,gen_3,0.5101120378178338,53
strings,gen_1,0.5933872348097755,33
strings,gen_2,0.5831545799764174,35
strings,gen_3,0.6073364906800501,34
trees,gen_1,0.24143583297310003,32
trees,gen_2,0.18714611820201882,26
trees,gen_3,0.25587414261770963,35
two pointers,gen_1,0.5384499494432972,25
two pointers,gen_2,0.5489418671535978,20
two pointers,gen_3,0.41080892562955185,26
