tag,gen_1,gen_2,gen_3
constructive algorithms,0.2856138638341971,0.26928798068955273,0.2431095571736604
trees,0.24143583297310003,0.18714611820201882,0.25587414261770963
dfs and similar,0.26070028198352746,0.2149188416551447,0.3077330955474836
graphs,0.30158371234945863,0.2568634162103269,0.3112281960754782
dp,0.30188662149708195,0.2989388878382367,0.31967232968923737
two pointers,0.5384499494432972,0.5489418671535978,0.41080892562955185
data structures,0.444264256895217,0.4073003890052437,0.41660704890651773
number theory,0.37197109169469117,0.4309199534888138,0.43005340132594067
combinatorics,0.3540253260992689,0.33363487433792116,0.43584620192795176
math,0.42308686448536575,0.43854668397131585,0.444608233033792
greedy,0.41329719564101053,0.42605211540263316,0.44764060411417567
binary search,0.39898231380068117,0.38672861172014306,0.4528421841128611
bitmasks,0.4414186154385727,0.45537242804592126,0.4743822974614953
sortings,0.5328338820968188,0.5456316627229563,0.5101120378178338
implementation,0.531182399685956,0.5678844926195497,0.5322928863155615
brute force,0.49943475249611746,0.5143643609654805,0.5582679033891931
strings,0.5933872348097755,0.5831545799764174,0.6073364906800501
