tag,mean_pass_rate,n
probabilities,0.14741935483870966,10
dsu,0.16831318616233326,14
trees,0.18714611820201882,26
dfs and similar,0.2149188416551447,35
geometry,0.21958874458874458,14
graphs,0.2568634162103269,43
constructive algorithms,0.26928798068955273,73
dp,0.2989388878382367,85
divide and conquer,0.3139069264069264,11
shortest paths,0.33167557932263814,10
combinatorics,0.33363487433792116,21
binary search,0.38672861172014306,45
data structures,0.4073003890052437,56
greedy,0.42605211540263316,111
number theory,0.4309199534888138,23
math,0.43854668397131585,101
bitmasks,0.45537242804592126,24
brute force,0.5143643609654805,82
sortings,0.5456316627229563,50
two pointers,0.5489418671535978,20
implementation,0.5678844926195497,136
strings,0.5831545799764174,35
