tag,gen_1,gen_2,gen_3
binary search,17.5,17.3,22.8
bitmasks,17.9,26.9,25.9
brute force,21.3,24.7,28.7
combinatorics,7.4,7.4,11.5
constructive algorithms,9.4,10.1,9.4
data structures,17.5,15.1,17.5
dfs and similar,4.2,2.2,8.5
divide and conquer,20.0,13.3,31.2
dp,8.8,10.7,9.9
dsu,9.5,0.0,9.1
geometry,0.0,0.0,0.0
graphs,3.1,1.7,7.8
greedy,14.9,14.8,18.9
implementation,27.8,31.1,29.3
math,17.7,16.4,16.9
number theory,9.1,7.1,12.1
sortings,27.9,29.8,28.3
strings,31.6,31.6,36.8
trees,2.5,2.8,7.7
two pointers,17.9,16.7,17.9
