model,generation,problem_key,top25_count
gemma,gen_1,10 b cinema cashier,0
gemma,gen_1,1003 d coins and queries,0
gemma,gen_1,1011 a stages,0
gemma,gen_1,1012 b chemical table,0
gemma,gen_1,1025 b weakened common divisor,0
gemma,gen_1,1027 e inverse coloring,0
gemma,gen_1,1030 e vasya and good sequences,0
gemma,gen_1,1037 e trips,0
gemma,gen_1,1043 a elections,0
gemma,gen_1,1053 c putting boxes together,0
gemma,gen_1,1065 f up and down the tree,0
gemma,gen_1,1068 d array without local maximums,0
gemma,gen_1,1070 c cloud computing,0
gemma,gen_1,1075 d intersecting subtrees,0
gemma,gen_1,1081 d maximum distance,0
gemma,gen_1,1084 c the fair nut and string,0
gemma,gen_1,1088 d ehab and another another xor problem,0
gemma,gen_1,1097 b petr and a combination lock,0
gemma,gen_1,110 b lucky string,0
gemma,gen_1,1100 d dasha and chess,0
gemma,gen_1,1107 d compression,0
gemma,gen_1,1139 e maximize mex,0
gemma,gen_1,1144 b parity alternated deletions,0
gemma,gen_1,1148 c crazy diamond,0
gemma,gen_1,1149 e election promises,0
gemma,gen_1,1158 f density of subarrays,0
gemma,gen_1,1187 g gang up,0
gemma,gen_1,1189 d1 add on a tree,0
gemma,gen_1,1191 c tokitsukaze and discard items,0
gemma,gen_1,1195 d2 submarine in the rybinsk sea hard edition,0
gemma,gen_1,1199 e matching vs independent set,0
gemma,gen_1,12 b correct solution,0
gemma,gen_1,120 c winnie the pooh and honey,0
gemma,gen_1,1208 a xorinacci,0
gemma,gen_1,1208 d restore permutation,0
gemma,gen_1,121 c lucky permutation,0
gemma,gen_1,1214 h tiles placement,0
gemma,gen_1,1216 d swords,0
gemma,gen_1,1227 d1 optimal subsequences easy version,0
gemma,gen_1,1238 b kill em all,0
gemma,gen_1,124 d squares,0
gemma,gen_1,1244 c the football season,0
gemma,gen_1,1249 d1 too many segments easy version,0
gemma,gen_1,1251 e1 voting easy version,0
gemma,gen_1,1253 f cheap robot,0
gemma,gen_1,1256 e yet another division into teams,0
gemma,gen_1,1257 g divisor set,0
gemma,gen_1,1264 a beautiful regional contest,0
gemma,gen_1,1269 e k integers,0
gemma,gen_1,1277 e two fairs,0
gemma,gen_1,1286 a garland,0
gemma,gen_1,1290 a mind control,0
gemma,gen_1,1291 e prefix enlightenment,0
gemma,gen_1,1304 e 1 trees and queries,0
gemma,gen_1,1305 b kuroni and simple strings,0
gemma,gen_1,1310 b double elimination,0
gemma,gen_1,1323 d present,0
