tag,model,generation,fail,pass,total,pass_pct,fail_pct
*special,gemma,gen_1,4.0,2.0,6.0,33.3,66.7
*special,gemma,gen_2,5.0,1.0,6.0,16.7,83.3
*special,gemma,gen_3,6.0,1.0,7.0,14.3,85.7
*special,human,soln1,2.0,6.0,8.0,75.0,25.0
*special,human,soln2,1.0,7.0,8.0,87.5,12.5
*special,llama,gen_1,5.0,3.0,8.0,37.5,62.5
*special,llama,gen_2,5.0,3.0,8.0,37.5,62.5
*special,llama,gen_3,6.0,2.0,8.0,25.0,75.0
*special,qwen,gen_1,7.0,1.0,8.0,12.5,87.5
*special,qwen,gen_2,7.0,1.0,8.0,12.5,87.5
*special,qwen,gen_3,6.0,1.0,7.0,14.3,85.7
2-sat,gemma,gen_1,2.0,0.0,2.0,0.0,100.0
2-sat,gemma,gen_2,2.0,0.0,2.0,0.0,100.0
2-sat,gemma,gen_3,2.0,0.0,2.0,0.0,100.0
2-sat,human,soln1,1.0,1.0,2.0,50.0,50.0
2-sat,human,soln2,1.0,1.0,2.0,50.0,50.0
2-sat,llama,gen_1,2.0,0.0,2.0,0.0,100.0
2-sat,llama,gen_2,2.0,0.0,2.0,0.0,100.0
2-sat,llama,gen_3,2.0,0.0,2.0,0.0,100.0
2-sat,qwen,gen_1,2.0,0.0,2.0,0.0,100.0
2-sat,qwen,gen_2,2.0,0.0,2.0,0.0,100.0
2-sat,qwen,gen_3,2.0,0.0,2.0,0.0,100.0
binary search,gemma,gen_1,41.0,10.0,51.0,19.6,80.4
binary search,gemma,gen_2,41.0,10.0,51.0,19.6,80.4
binary search,gemma,gen_3,42.0,11.0,53.0,20.8,79.2
binary search,human,soln1,15.0,42.0,57.0,73.7,26.3
binary search,human,soln2,15.0,42.0,57.0,73.7,26.3
binary search,llama,gen_1,47.0,10.0,57.0,17.5,82.5
binary search,llama,gen_2,43.0,9.0,52.0,17.3,82.7
binary search,llama,gen_3,44.0,13.0,57.0,22.8,77.2
