tag,human,gemma,llama,qwen
binary search,73.7,20.0,19.3,10.1
bitmasks,78.6,23.1,23.5,10.8
brute force,74.5,27.8,24.9,18.0
combinatorics,72.2,8.3,8.8,6.4
constructive algorithms,40.0,6.6,9.6,3.3
data structures,67.9,24.6,16.7,11.0
dfs and similar,53.1,10.5,5.0,7.8
divide and conquer,50.0,31.8,21.7,14.9
dp,75.0,10.2,9.8,4.8
dsu,68.2,17.5,6.5,13.6
geometry,52.5,4.3,0.0,0.0
graphs,56.9,10.6,4.3,4.8
greedy,69.3,14.3,16.2,9.2
implementation,76.8,32.0,29.4,25.1
math,76.5,21.6,17.0,12.1
number theory,62.1,13.8,9.6,9.4
sortings,74.6,24.1,28.7,18.8
strings,78.9,30.3,33.3,25.2
trees,61.3,10.8,4.3,5.9
two pointers,73.2,20.5,17.5,17.1
