tag,human,gemma,llama,qwen
strings,0.934,0.579,0.595,0.525
bitmasks,0.92,0.552,0.457,0.377
string suffix structures,0.917,0.506,0.44,0.178
games,0.915,0.343,0.34,0.254
shortest paths,0.903,0.385,0.37,0.376
math,0.902,0.507,0.435,0.367
combinatorics,0.89,0.516,0.374,0.341
implementation,0.89,0.57,0.543,0.497
*special,0.889,0.427,0.512,0.292
dp,0.885,0.454,0.307,0.295
two pointers,0.873,0.537,0.495,0.48
brute force,0.873,0.547,0.524,0.465
sortings,0.87,0.519,0.529,0.453
greedy,0.865,0.454,0.429,0.362
dsu,0.864,0.513,0.294,0.382
binary search,0.85,0.43,0.414,0.323
data structures,0.839,0.548,0.424,0.335
number theory,0.809,0.473,0.41,0.395
matrices,0.798,0.368,0.241,0.206
fft,0.792,0.524,0.41,0.345
graphs,0.787,0.336,0.292,0.258
graph matchings,0.75,0.725,0.387,0.4
dfs and similar,0.749,0.343,0.263,0.241
trees,0.728,0.375,0.232,0.204
geometry,0.623,0.334,0.291,0.3
divide and conquer,0.621,0.472,0.383,0.315
constructive algorithms,0.6,0.247,0.265,0.218
ternary search,0.531,0.3,0.208,0.104
flows,0.5,0.156,0.103,0.107
probabilities,0.444,0.236,0.112,0.167
interactive,0.086,0.077,0.04,0.036
