tag,human,gemma,llama,qwen
binary search,75.0,20.1,19.6,10.3
bitmasks,84.6,24.7,25.3,11.7
brute force,74.5,27.8,24.9,18.0
combinatorics,72.2,8.3,8.8,6.4
constructive algorithms,43.0,7.1,10.4,3.6
data structures,67.9,24.6,16.7,11.0
dfs and similar,54.3,10.7,5.1,8.0
divide and conquer,57.1,36.8,25.0,17.1
dp,75.0,10.2,9.8,4.8
dsu,68.2,17.5,6.5,13.6
geometry,52.5,4.3,0.0,0.0
graphs,56.9,10.6,4.3,4.8
greedy,69.3,14.3,16.2,9.2
implementation,77.8,32.4,29.8,25.4
math,77.1,21.8,17.2,12.2
number theory,64.1,14.3,9.9,9.7
sortings,74.6,24.1,28.7,18.8
strings,78.9,30.3,33.3,25.2
trees,66.2,11.7,4.7,6.4
two pointers,73.2,20.5,17.5,17.1
