Model,Generation,N Analyzed,N w/ Any CWE,Prevalence (all),N w/ Non-Style CWE,Prevalence (excl. style),N w/ Clang Security,Prevalence (clang security)
gemma,gen_1,745,336,0.451,54,0.072,199,0.267
gemma,gen_2,740,345,0.466,52,0.07,215,0.291
gemma,gen_3,753,340,0.452,52,0.069,206,0.274
human,soln1,851,392,0.461,130,0.153,500,0.588
human,soln2,844,373,0.442,128,0.152,504,0.597
llama,gen_1,849,292,0.344,50,0.059,284,0.335
llama,gen_2,800,272,0.34,52,0.065,263,0.329
llama,gen_3,847,276,0.326,38,0.045,291,0.344
qwen,gen_1,850,279,0.328,36,0.042,252,0.296
qwen,gen_2,823,320,0.389,44,0.053,242,0.294
qwen,gen_3,816,309,0.379,33,0.04,246,0.301
