Model,Metric,Spearman rho,p-value,N
Gemma,Cppcheck Total,-0.1099,1.32e-04,1206
Gemma,Cppcheck CWE Count,-0.0941,1.07e-03,1206
Gemma,Clang-Tidy Total,-0.3676,6.84e-40,1206
Gemma,Clang-Tidy Bugprone,-0.1128,8.62e-05,1206
Gemma,Clang-Tidy Analyzer,-0.1175,4.30e-05,1206
Llama,Cppcheck Total,-0.0849,1.58e-03,1382
Llama,Cppcheck CWE Count,-0.0821,2.26e-03,1382
Llama,Clang-Tidy Total,-0.264,1.77e-23,1382
Llama,Clang-Tidy Bugprone,-0.1884,1.65e-12,1382
Llama,Clang-Tidy Analyzer,-0.1442,7.29e-08,1382
Qwen,Cppcheck Total,-0.1104,3.96e-05,1379
Qwen,Cppcheck CWE Count,-0.1015,1.61e-04,1379
Qwen,Clang-Tidy Total,-0.2482,8.33e-21,1379
Qwen,Clang-Tidy Bugprone,-0.162,1.44e-09,1379
Qwen,Clang-Tidy Analyzer,-0.0876,1.12e-03,1379
Human,Cppcheck Total,-0.1104,4.88e-04,994
Human,Cppcheck CWE Count,-0.0985,1.87e-03,994
Human,Clang-Tidy Total,-0.1782,1.55e-08,994
Human,Clang-Tidy Bugprone,-0.0617,5.18e-02,994
Human,Clang-Tidy Analyzer,-0.0225,4.79e-01,994
