Model,Status,N,Mean Cppcheck Total,Mean Cppcheck CWE,Mean Clang Total,Mean Clang Bugprone,Mean Clang Analyzer
Gemma,all_pass,269,0.595,0.394,3.751,0.219,0.059
Gemma,partial,727,1.175,0.565,7.459,0.399,0.116
Gemma,zero_pass,210,1.219,0.59,7.552,0.429,0.21
Llama,all_pass,289,0.308,0.242,3.18,0.215,0.01
Llama,partial,775,0.666,0.388,4.55,0.48,0.108
Llama,zero_pass,318,0.692,0.384,5.381,0.695,0.157
Qwen,all_pass,206,0.529,0.35,2.587,0.189,0.044
Qwen,partial,839,0.692,0.398,4.038,0.495,0.064
Qwen,zero_pass,334,1.036,0.53,5.105,0.62,0.171
Human,all_pass,748,1.214,0.579,7.846,1.344,0.544
Human,partial,160,1.5,0.706,10.056,1.5,0.544
Human,zero_pass,86,2.395,0.919,12.093,2.151,0.547
