Model,Generation,Total Generated,Compiled,Compile Rate,Had Tests,Test Coverage,N (TPR calc),Mean TPR,All Pass,Zero Pass,Timed Out,Timeout Rate
gemma,gen_1,745,668,0.897,402,0.54,402,0.465,89,69,56,0.139
gemma,gen_2,740,667,0.901,400,0.541,400,0.459,84,70,55,0.138
gemma,gen_3,753,683,0.907,404,0.537,404,0.479,96,71,51,0.126
human,soln1,851,831,0.976,494,0.58,494,0.832,370,42,5,0.01
human,soln2,844,834,0.988,500,0.592,500,0.828,378,44,4,0.008
llama,gen_1,849,763,0.899,468,0.551,468,0.423,94,107,50,0.107
llama,gen_2,800,736,0.92,438,0.548,438,0.426,92,96,49,0.112
llama,gen_3,847,773,0.913,476,0.562,476,0.426,103,115,52,0.109
qwen,gen_1,850,788,0.927,479,0.564,479,0.361,64,114,52,0.109
qwen,gen_2,823,745,0.905,451,0.548,451,0.382,71,113,53,0.118
qwen,gen_3,816,757,0.928,449,0.55,449,0.388,71,107,38,0.085
