model,generation,n,compile_rate,test_coverage,timeout_rate,mean_total_tests
gemma,gen_1,745,0.897,0.54,0.075,26.756
gemma,gen_2,740,0.901,0.541,0.074,26.828
gemma,gen_3,753,0.907,0.537,0.068,26.733
human,soln1,851,0.976,0.58,0.006,25.856
human,soln2,844,0.988,0.592,0.005,26.094
llama,gen_1,849,0.899,0.551,0.059,26.63
llama,gen_2,800,0.92,0.548,0.061,26.954
llama,gen_3,847,0.913,0.562,0.061,26.294
qwen,gen_1,850,0.927,0.564,0.061,26.43
qwen,gen_2,823,0.905,0.548,0.064,25.831
qwen,gen_3,816,0.928,0.55,0.047,26.51
