Model,Generation,Total Instructions,Extracted Programs,Excluded (no code / API fail),Exclusion Rate,Compiled,Compile Rate (of extracted)
gemma,gen_1,851,745,106,0.125,668,0.897
gemma,gen_2,851,740,111,0.13,667,0.901
gemma,gen_3,851,753,98,0.115,683,0.907
human,soln1,851,851,0,0.0,831,0.976
human,soln2,851,844,7,0.008,834,0.988
llama,gen_1,851,849,2,0.002,763,0.899
llama,gen_2,851,800,51,0.06,736,0.92
llama,gen_3,851,847,4,0.005,773,0.913
qwen,gen_1,851,850,1,0.001,788,0.927
qwen,gen_2,851,823,28,0.033,745,0.905
qwen,gen_3,851,816,35,0.041,757,0.928
