cwe,Description,Severity,gemma,llama,qwen,human
CWE-398,Code Quality (Variable Scope),Low,1360,1111,1265,1410
CWE-563,Unused Variable Assignment,Low,884,377,447,548
CWE-571,Expression Always True,Medium,77,32,28,31
CWE-570,Expression Always False,Medium,67,13,43,9
CWE-786,Buffer Under-read,High,25,28,15,12
CWE-457,Use of Uninitialized Variable,High,17,31,25,71
CWE-758,Undefined Behavior,High,8,6,9,23
CWE-197,Numeric Truncation,Medium,4,8,8,6
CWE-664,Improper Resource Control,Medium,0,10,7,0
CWE-788,Buffer Over-read,High,0,14,4,22
