CWE,Description,Severity,MITRE Top-25,AI Total Findings,AI Files Affected,Human Total Findings,Human Files Affected
CWE-398,Code Quality (Variable Scope),Low,False,3736,2200,1410,548
CWE-563,Unused Variable Assignment,Low,False,1708,707,548,193
CWE-571,Expression Always True,Medium,False,137,95,31,22
CWE-570,Expression Always False,Medium,False,123,76,9,9
CWE-457,Use of Uninitialized Variable,High,True,73,36,71,38
CWE-786,Buffer Under-read,High,True,68,44,12,10
CWE-758,Undefined Behavior,High,False,23,20,23,17
CWE-197,Numeric Truncation,Medium,False,20,15,6,6
CWE-788,Buffer Over-read,High,True,18,11,22,18
CWE-664,Improper Resource Control,Medium,False,17,10,0,0
