Model,Metric,Human Mean,Gemma Mean,Mean Diff,p-value,N,Llama Mean,Qwen Mean
Gemma,Cppcheck Total Warnings,1.371,1.185,0.186,4.49e-02,835,,
Gemma,Cppcheck CWE Count,0.593,0.586,0.007,8.16e-01,835,,
Gemma,Clang-Tidy Total Diagnostics,10.2,7.182,3.018,6.84e-14,835,,
Gemma,Clang-Tidy Bugprone,2.078,0.434,1.644,4.87e-33,835,,
Gemma,Clang-Tidy Analyzer,0.468,0.143,0.325,9.52e-24,835,,
Llama,Cppcheck Total Warnings,1.38,,0.707,1.46e-19,851,0.673,
Llama,Cppcheck CWE Count,0.599,,0.213,3.43e-20,851,0.385,
Llama,Clang-Tidy Total Diagnostics,10.197,,5.196,5.98e-46,851,5.001,
Llama,Clang-Tidy Bugprone,2.07,,1.528,2.28e-31,851,0.542,
Llama,Clang-Tidy Analyzer,0.468,,0.37,2.53e-40,851,0.099,
Qwen,Cppcheck Total Warnings,1.38,,0.621,3.26e-15,851,,0.759
Qwen,Cppcheck CWE Count,0.599,,0.179,3.62e-15,851,,0.42
Qwen,Clang-Tidy Total Diagnostics,10.197,,5.579,2.91e-53,851,,4.618
Qwen,Clang-Tidy Bugprone,2.07,,1.547,2.51e-32,851,,0.523
Qwen,Clang-Tidy Analyzer,0.468,,0.384,1.04e-42,851,,0.084
