tag,generation,mean_pass_rate,n
binary search,gen_1,0.30990631731522517,51
binary search,gen_2,0.3702509830858401,48
binary search,gen_3,0.29307485476607725,51
bitmasks,gen_1,0.303888243164459,24
bitmasks,gen_2,0.3763815661457844,24
bitmasks,gen_3,0.4512727321076732,24
brute force,gen_1,0.48101693373041987,88
brute force,gen_2,0.4774069310511709,85
brute force,gen_3,0.4365120106437998,84
combinatorics,gen_1,0.334665766555787,23
combinatorics,gen_2,0.3170837997646316,20
combinatorics,gen_3,0.37452347531547914,18
constructive algorithms,gen_1,0.21358357591003618,79
constructive algorithms,gen_2,0.24489385454700857,72
constructive algorithms,gen_3,0.19271434994714942,67
data structures,gen_1,0.2527670067792892,67
data structures,gen_2,0.3967083202321037,59
data structures,gen_3,0.3631433198661182,64
dfs and similar,gen_1,0.2068817719953046,38
dfs and similar,gen_2,0.24997690462283767,36
dfs and similar,gen_3,0.2679640158899982,38
dp,gen_1,0.2513940771697377,98
dp,gen_2,0.30215283344389693,91
dp,gen_3,0.334217023354788,90
dsu,gen_1,0.3197744723490992,18
dsu,gen_2,0.49546853036405275,15
dsu,gen_3,0.3485157304406646,17
geometry,gen_1,0.36176225657194516,17
geometry,gen_2,0.2936078219166454,16
geometry,gen_3,0.24438977016831687,17
graphs,gen_1,0.23432104178881402,52
graphs,gen_2,0.2687847704424008,43
graphs,gen_3,0.272623313084711,50
greedy,gen_1,0.3256672715574798,117
greedy,gen_2,0.35786285272395624,105
greedy,gen_3,0.40696056114304535,107
implementation,gen_1,0.48213399956822783,146
implementation,gen_2,0.5003430911917937,138
implementation,gen_3,0.5093903362409999,137
math,gen_1,0.3534535843913109,109
math,gen_2,0.3546057143868344,104
math,gen_3,0.393720534206169,102
number theory,gen_1,0.42568209870132956,29
number theory,gen_2,0.3794750232952199,26
number theory,gen_3,0.3773558655407289,27
sortings,gen_1,0.4456117925659727,51
sortings,gen_2,0.47106356018523504,53
sortings,gen_3,0.441399225647019,48
strings,gen_1,0.5182081697783059,34
strings,gen_2,0.5005599658147759,31
strings,gen_3,0.554521984270999,33
trees,gen_1,0.16975858854740844,33
trees,gen_2,0.13715792735313587,28
trees,gen_3,0.2981958296836014,32
two pointers,gen_1,0.49616971748327926,24
two pointers,gen_2,0.49140728313622684,25
two pointers,gen_3,0.44700827528555737,21
