tag,gen_1,gen_2,gen_3
constructive algorithms,0.21358357591003618,0.24489385454700857,0.19271434994714942
geometry,0.36176225657194516,0.2936078219166454,0.24438977016831687
dfs and similar,0.2068817719953046,0.24997690462283767,0.2679640158899982
graphs,0.23432104178881402,0.2687847704424008,0.272623313084711
binary search,0.30990631731522517,0.3702509830858401,0.29307485476607725
trees,0.16975858854740844,0.13715792735313587,0.2981958296836014
dp,0.2513940771697377,0.30215283344389693,0.334217023354788
dsu,0.3197744723490992,0.49546853036405275,0.3485157304406646
data structures,0.2527670067792892,0.3967083202321037,0.3631433198661182
combinatorics,0.334665766555787,0.3170837997646316,0.37452347531547914
number theory,0.42568209870132956,0.3794750232952199,0.3773558655407289
math,0.3534535843913109,0.3546057143868344,0.393720534206169
greedy,0.3256672715574798,0.35786285272395624,0.40696056114304535
brute force,0.48101693373041987,0.4774069310511709,0.4365120106437998
sortings,0.4456117925659727,0.47106356018523504,0.441399225647019
two pointers,0.49616971748327926,0.49140728313622684,0.44700827528555737
bitmasks,0.303888243164459,0.3763815661457844,0.4512727321076732
implementation,0.48213399956822783,0.5003430911917937,0.5093903362409999
strings,0.5182081697783059,0.5005599658147759,0.554521984270999
