tag,mean_pass_rate,n
trees,0.13715792735313587,28
games,0.24175433125433124,10
constructive algorithms,0.24489385454700857,72
dfs and similar,0.24997690462283767,36
graphs,0.2687847704424008,43
geometry,0.2936078219166454,16
dp,0.30215283344389693,91
divide and conquer,0.31197916666666664,12
combinatorics,0.3170837997646316,20
math,0.3546057143868344,104
greedy,0.35786285272395624,105
binary search,0.3702509830858401,48
bitmasks,0.3763815661457844,24
number theory,0.3794750232952199,26
data structures,0.3967083202321037,59
shortest paths,0.43789193769907364,10
sortings,0.47106356018523504,53
brute force,0.4774069310511709,85
two pointers,0.49140728313622684,25
dsu,0.49546853036405275,15
implementation,0.5003430911917937,138
strings,0.5005599658147759,31
