tag,gen_1,gen_2,gen_3
binary search,8.8,12.7,8.9
bitmasks,7.1,10.7,14.8
brute force,18.1,21.5,14.3
combinatorics,7.4,7.7,4.0
constructive algorithms,2.4,3.7,3.8
data structures,6.2,14.3,12.8
dfs and similar,4.2,10.6,8.7
divide and conquer,18.8,6.2,20.0
dp,4.4,5.4,4.8
dsu,9.1,22.7,9.1
geometry,0.0,0.0,0.0
graphs,3.1,4.8,6.6
greedy,7.5,6.4,13.8
implementation,22.8,25.7,27.0
math,10.5,11.8,14.0
number theory,12.1,9.4,6.5
sortings,16.4,19.7,20.3
strings,23.7,21.6,30.6
trees,5.0,2.5,10.3
two pointers,14.3,21.4,15.4
