Model,Generation,Total,Compiled,Triggered,Compile Rate,Trigger Rate (compiled),Trigger Rate (total)
gemma,gen_1,745,668,57,0.897,0.085,0.077
gemma,gen_2,740,667,55,0.901,0.082,0.074
gemma,gen_3,753,683,61,0.907,0.089,0.081
human,soln1,851,831,18,0.976,0.022,0.021
human,soln2,844,834,25,0.988,0.03,0.03
llama,gen_1,849,763,75,0.899,0.098,0.088
llama,gen_2,800,736,76,0.92,0.103,0.095
llama,gen_3,847,773,66,0.913,0.085,0.078
qwen,gen_1,850,788,79,0.927,0.1,0.093
qwen,gen_2,823,745,71,0.905,0.095,0.086
qwen,gen_3,816,757,74,0.928,0.098,0.091
