model,generation,pass_rate_mean,pass_rate_std,cwe_mean,cwe_std,n_samples
human,soln1,0.832,0.335,0.602,0.765,851
human,soln2,0.828,0.343,0.596,0.791,844
gemma,gen_1,0.465,0.382,0.564,0.712,745
gemma,gen_2,0.459,0.373,0.564,0.674,740
gemma,gen_3,0.479,0.389,0.543,0.669,753
llama,gen_1,0.423,0.381,0.391,0.579,849
llama,gen_2,0.426,0.385,0.398,0.602,800
llama,gen_3,0.426,0.391,0.371,0.571,847
qwen,gen_1,0.361,0.352,0.369,0.568,850
qwen,gen_2,0.382,0.364,0.454,0.626,823
qwen,gen_3,0.388,0.362,0.431,0.603,816
