tag,human_pass_rate,ai_avg_pass_rate,gap
games,0.915,0.31233333333333335,0.6026666666666667
string suffix structures,0.917,0.37466666666666665,0.5423333333333333
dp,0.885,0.35200000000000004,0.5329999999999999
matrices,0.798,0.27166666666666667,0.5263333333333333
shortest paths,0.903,0.377,0.526
graphs,0.787,0.29533333333333334,0.4916666666666667
combinatorics,0.89,0.4103333333333334,0.47966666666666663
*special,0.889,0.4103333333333334,0.47866666666666663
dsu,0.864,0.39633333333333337,0.4676666666666666
dfs and similar,0.749,0.2823333333333334,0.4666666666666666
math,0.902,0.4363333333333333,0.46566666666666673
binary search,0.85,0.389,0.46099999999999997
bitmasks,0.92,0.462,0.458
trees,0.728,0.2703333333333333,0.45766666666666667
greedy,0.865,0.41500000000000004,0.44999999999999996
data structures,0.839,0.43566666666666665,0.4033333333333333
number theory,0.809,0.426,0.38300000000000006
flows,0.5,0.122,0.378
sortings,0.87,0.5003333333333334,0.3696666666666666
two pointers,0.873,0.504,0.369
strings,0.934,0.5663333333333332,0.3676666666666668
fft,0.792,0.4263333333333333,0.36566666666666675
brute force,0.873,0.5120000000000001,0.3609999999999999
constructive algorithms,0.6,0.24333333333333332,0.3566666666666667
implementation,0.89,0.5366666666666666,0.3533333333333334
ternary search,0.531,0.204,0.32700000000000007
geometry,0.623,0.30833333333333335,0.31466666666666665
probabilities,0.444,0.17166666666666666,0.2723333333333333
graph matchings,0.75,0.504,0.246
divide and conquer,0.621,0.38999999999999996,0.23100000000000004
interactive,0.086,0.051,0.034999999999999996
