rank,human,gemma,llama,qwen
1,modernize-use-trailing-return-type,performance-avoid-endl,performance-avoid-endl,modernize-use-trailing-return-type
2,modernize-avoid-c-arrays,modernize-use-trailing-return-type,modernize-use-trailing-return-type,performance-avoid-endl
3,bugprone-narrowing-conversions,bugprone-branch-clone,modernize-avoid-c-arrays,modernize-use-nullptr
4,performance-avoid-endl,bugprone-narrowing-conversions,bugprone-narrowing-conversions,bugprone-narrowing-conversions
5,clang-analyzer-security.ArrayBound,modernize-use-emplace,modernize-use-nullptr,modernize-avoid-c-arrays
6,modernize-use-bool-literals,clang-analyzer-deadcode.DeadStores,modernize-use-using,modernize-use-emplace
7,modernize-use-nullptr,modernize-loop-convert,clang-diagnostic-vla-cxx-extension,bugprone-implicit-widening-of-multiplication-result
8,bugprone-easily-swappable-parameters,modernize-avoid-c-arrays,modernize-use-emplace,clang-analyzer-deadcode.DeadStores
9,modernize-loop-convert,bugprone-implicit-widening-of-multiplication-result,bugprone-easily-swappable-parameters,performance-inefficient-vector-operation
10,modernize-use-emplace,bugprone-easily-swappable-parameters,modernize-loop-convert,bugprone-branch-clone
