model,diagnostic_name,count
gemma,performance-avoid-endl,10237
gemma,modernize-use-trailing-return-type,2639
gemma,modernize-use-emplace,449
gemma,bugprone-narrowing-conversions,410
gemma,clang-diagnostic-error,361
gemma,bugprone-branch-clone,340
gemma,clang-analyzer-deadcode.DeadStores,274
gemma,modernize-avoid-c-arrays,102
gemma,bugprone-implicit-widening-of-multiplication-result,87
gemma,modernize-loop-convert,84
human,modernize-use-trailing-return-type,4712
human,modernize-avoid-c-arrays,2973
human,bugprone-narrowing-conversions,1526
human,bugprone-macro-parentheses,1078
human,performance-avoid-endl,1048
human,modernize-use-bool-literals,660
human,clang-analyzer-security.ArrayBound,588
human,modernize-use-nullptr,543
human,modernize-use-using,527
human,bugprone-easily-swappable-parameters,439
llama,modernize-use-trailing-return-type,3853
llama,performance-avoid-endl,3225
llama,modernize-avoid-c-arrays,1415
llama,bugprone-narrowing-conversions,685
llama,clang-diagnostic-error,613
llama,modernize-use-nullptr,370
llama,bugprone-easily-swappable-parameters,326
llama,modernize-use-emplace,288
llama,modernize-use-using,280
llama,modernize-loop-convert,198
qwen,modernize-use-trailing-return-type,3600
qwen,performance-avoid-endl,2901
qwen,modernize-use-nullptr,941
qwen,modernize-avoid-c-arrays,853
qwen,bugprone-narrowing-conversions,753
qwen,clang-diagnostic-error,551
qwen,modernize-use-emplace,437
qwen,modernize-use-using,242
qwen,bugprone-easily-swappable-parameters,240
qwen,bugprone-implicit-widening-of-multiplication-result,142
